,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Action Details,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Player Full Name,,Team,Match Date,Opposition,,Action,Period,Time,,x,y,ex,ey,Dir,Video Link
Aaron Choi,,Boston Bolts U19 MLS Next,2024-10-26,Seacoast,,Kick Off,1st Half,00:00,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=514783&type=Action&PhysicalStats=
Miguel Pereira,,Boston Bolts U19 MLS Next,2024-10-26,Seacoast,,Side Back,1st Half,00:00,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=515159&type=Action&PhysicalStats=
Zachary Miles,,Boston Bolts U19 MLS Next,2024-10-26,Seacoast,,Unsucc Long,1st Half,00:02,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=515619&type=Action&PhysicalStats=
Amir Yahalom,,Boston Bolts U19 MLS Next,2024-10-26,Seacoast,,Forward,1st Half,00:08,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=515317&type=Action&PhysicalStats=
Amir Yahalom,,Boston Bolts U19 MLS Next,2024-10-26,Seacoast,,Progr Rec,1st Half,00:08,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=515366&type=Action&PhysicalStats=
Ian Hecker,,Boston Bolts U19 MLS Next,2024-10-26,Seacoast,,Stand Tackle,1st Half,00:09,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=514998&type=Action&PhysicalStats=
Ian Hecker,,Boston Bolts U19 MLS Next,2024-10-26,Seacoast,,Loss of Poss,1st Half,00:09,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=515029&type=Action&PhysicalStats=
Zachary Miles,,Boston Bolts U19 MLS Next,2024-10-26,Seacoast,,Long,1st Half,00:22,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=515576&type=Action&PhysicalStats=
Zachary Miles,,Boston Bolts U19 MLS Next,2024-10-26,Seacoast,,Progr Inter,1st Half,00:22,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=515580&type=Action&PhysicalStats=
Ian Hecker,,Boston Bolts U19 MLS Next,2024-10-26,Seacoast,,Unsucc Forward,1st Half,00:25,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=515072&type=Action&PhysicalStats=
