,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Action Details,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Player Full Name,,Team,Match Date,Opposition,,Action,Period,Time,,x,y,ex,ey,Dir,Video Link
Aaron Choi,,Boston Bolts U19 MLS Next,2024-11-23,Oakwood,,Kick Off,1st Half,00:00,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=572537&type=Action&PhysicalStats=
Aaron Choi,,Boston Bolts U19 MLS Next,2024-11-23,Oakwood,,Opp Effort on Goal,1st Half,00:12,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=572565&type=Action&PhysicalStats=
Zachary Miles,,Boston Bolts U19 MLS Next,2024-11-23,Oakwood,,Blocked Shot,1st Half,00:12,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=573477&type=Action&PhysicalStats=
Ian Hecker,,Boston Bolts U19 MLS Next,2024-11-23,Oakwood,,Foul Won,1st Half,00:15,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=572828&type=Action&PhysicalStats=
Ian Hecker,,Boston Bolts U19 MLS Next,2024-11-23,Oakwood,,Progr Rec,1st Half,00:15,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=572851&type=Action&PhysicalStats=
James Hirsh,,Boston Bolts U19 MLS Next,2024-11-23,Oakwood,,FK,1st Half,00:23,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=572936&type=Action&PhysicalStats=
Zachary Miles,,Boston Bolts U19 MLS Next,2024-11-23,Oakwood,,Side Back,1st Half,00:23,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=573504&type=Action&PhysicalStats=
Henry Wassarman,,Boston Bolts U19 MLS Next,2024-11-23,Oakwood,,Side Back,1st Half,00:25,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=573446&type=Action&PhysicalStats=
Aaron Choi,,Boston Bolts U19 MLS Next,2024-11-23,Oakwood,,Long,1st Half,00:28,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=572521&type=Action&PhysicalStats=
Giovanni Della Rocca,,Boston Bolts U19 MLS Next,2024-11-23,Oakwood,,Throw-in,1st Half,00:41,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=572795&type=Action&PhysicalStats=
James Hirsh,,Boston Bolts U19 MLS Next,2024-11-23,Oakwood,,Unsucc Forward,1st Half,00:42,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=572993&type=Action&PhysicalStats=
