,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Action Details,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Player Full Name,,Team,Match Date,Opposition,,Action,Period,Time,,x,y,ex,ey,Dir,Video Link
Jack Susi,,Boston Bolts U14 MLS Next,2024-09-21,NE Revolution,,Kick Off,1st Half,00:00,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=334577&type=Action&PhysicalStats=
Angelo Castaldini,,Boston Bolts U14 MLS Next,2024-09-21,NE Revolution,,Side Back,1st Half,00:00,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=334586&type=Action&PhysicalStats=
Drew Canal,,Boston Bolts U14 MLS Next,2024-09-21,NE Revolution,,Side Back,1st Half,00:02,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=334587&type=Action&PhysicalStats=
Max Segal,,Boston Bolts U14 MLS Next,2024-09-21,NE Revolution,,Forward,1st Half,00:06,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=334588&type=Action&PhysicalStats=
Josep Calderon,,Boston Bolts U14 MLS Next,2024-09-21,NE Revolution,,Unsucc Side Back,1st Half,00:08,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=334589&type=Action&PhysicalStats=
Drew Canal,,Boston Bolts U14 MLS Next,2024-09-21,NE Revolution,,Unsucc Stand Tackle,1st Half,00:12,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=334590&type=Action&PhysicalStats=
Drew Canal,,Boston Bolts U14 MLS Next,2024-09-21,NE Revolution,,Stand Tackle,1st Half,00:17,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=334591&type=Action&PhysicalStats=
Drew Canal,,Boston Bolts U14 MLS Next,2024-09-21,NE Revolution,,Side Back,1st Half,00:17,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=334592&type=Action&PhysicalStats=
Jackson Banks,,Boston Bolts U14 MLS Next,2024-09-21,NE Revolution,,Dribble,1st Half,00:20,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=334593&type=Action&PhysicalStats=
Jackson Banks,,Boston Bolts U14 MLS Next,2024-09-21,NE Revolution,,Loss of Poss,1st Half,00:20,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=334594&type=Action&PhysicalStats=
Drew Canal,,Boston Bolts U14 MLS Next,2024-09-21,NE Revolution,,Unsucc Forward,1st Half,00:25,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=334595&type=Action&PhysicalStats=
Drew Canal,,Boston Bolts U14 MLS Next,2024-09-21,NE Revolution,,Unprogr Inter,1st Half,00:25,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=334596&type=Action&PhysicalStats=
Samuel Rodriguez,,Boston Bolts U14 MLS Next,2024-09-21,NE Revolution,,Unprogr Inter,1st Half,00:38,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=334597&type=Action&PhysicalStats=
Samuel Rodriguez,,Boston Bolts U14 MLS Next,2024-09-21,NE Revolution,,Unsucc Forward,1st Half,00:38,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=334598&type=Action&PhysicalStats=
Samuel Rodriguez,,Boston Bolts U14 MLS Next,2024-09-21,NE Revolution,,Unsucc Stand Tackle,1st Half,01:33,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=334599&type=Action&PhysicalStats=
Alexander Robbins,,Boston Bolts U14 MLS Next,2024-09-21,NE Revolution,,Unsucc Stand Tackle,1st Half,01:36,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=334600&type=Action&PhysicalStats=
Jack Susi,,Boston Bolts U14 MLS Next,2024-09-21,NE Revolution,,Goal Against,1st Half,01:38,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=334601&type=Action&PhysicalStats=
Jack Susi,,Boston Bolts U14 MLS Next,2024-09-21,NE Revolution,,Opp Effort on Goal,1st Half,01:38,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=334602&type=Action&PhysicalStats=
Angelo Castaldini,,Boston Bolts U14 MLS Next,2024-09-21,NE Revolution,,Side Back,1st Half,02:08,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=334603&type=Action&PhysicalStats=
Samuel Rodriguez,,Boston Bolts U14 MLS Next,2024-09-21,NE Revolution,,Forward,1st Half,02:11,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=334604&type=Action&PhysicalStats=
Jackson Banks,,Boston Bolts U14 MLS Next,2024-09-21,NE Revolution,,Unsucc Forward,1st Half,02:13,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=334605&type=Action&PhysicalStats=
Jack Susi,,Boston Bolts U14 MLS Next,2024-09-21,NE Revolution,,Goal Against,1st Half,02:48,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=334606&type=Action&PhysicalStats=
Jack Susi,,Boston Bolts U14 MLS Next,2024-09-21,NE Revolution,,Opp Effort on Goal,1st Half,02:48,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=334607&type=Action&PhysicalStats=
