,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Action Details,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Player Full Name,,Team,Match Date,Opposition,,Action,Period,Time,,x,y,ex,ey,Dir,Video Link
Kai Mercer,,Boston Bolts U16 NALB,2025-03-30,Arlington,,Kick Off,1st Half,00:00,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=750363&type=Action
Wyatt Conley,,Boston Bolts U16 NALB,2025-03-30,Arlington,,Side Back,1st Half,00:00,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=750404&type=Action
Owen Spinney,,Boston Bolts U16 NALB,2025-03-30,Arlington,,Forward,1st Half,00:03,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=749788&type=Action
Matthew DeSantis,,Boston Bolts U16 NALB,2025-03-30,Arlington,,Side Back,1st Half,00:05,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=750014&type=Action
Owen Spinney,,Boston Bolts U16 NALB,2025-03-30,Arlington,,Unsucc Side Back,1st Half,00:09,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=749827&type=Action
Kai Mercer,,Boston Bolts U16 NALB,2025-03-30,Arlington,,Goal Against,1st Half,00:20,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=750372&type=Action
Kai Mercer,,Boston Bolts U16 NALB,2025-03-30,Arlington,,Opp Effort on Goal,1st Half,00:20,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=750376&type=Action
Wyatt Conley,,Boston Bolts U16 NALB,2025-03-30,Arlington,,Side Back,1st Half,00:57,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=750405&type=Action
Joseph Sousa,,Boston Bolts U16 NALB,2025-03-30,Arlington,,Side Back,1st Half,00:59,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=749864&type=Action
Oscar Robertson,,Boston Bolts U16 NALB,2025-03-30,Arlington,,Side Back,1st Half,01:01,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=749548&type=Action
Liam Bazant,,Boston Bolts U16 NALB,2025-03-30,Arlington,,Side Back,1st Half,01:05,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=750091&type=Action
Kai Mercer,,Boston Bolts U16 NALB,2025-03-30,Arlington,,Forward,1st Half,01:08,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=750337&type=Action
Liam Bazant,,Boston Bolts U16 NALB,2025-03-30,Arlington,,Side Back,1st Half,01:11,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=750092&type=Action
Kai Mercer,,Boston Bolts U16 NALB,2025-03-30,Arlington,,Side Back,1st Half,01:16,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=750356&type=Action
Owen Spinney,,Boston Bolts U16 NALB,2025-03-30,Arlington,,Unsucc Long,1st Half,01:17,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=749825&type=Action
Owen Spinney,,Boston Bolts U16 NALB,2025-03-30,Arlington,,Line Break,1st Half,01:17,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=749834&type=Action
Owen Spinney,,Boston Bolts U16 NALB,2025-03-30,Arlington,,Dribble,1st Half,01:17,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=749786&type=Action
Max Christiano,,Boston Bolts U16 NALB,2025-03-30,Arlington,,Forward,1st Half,01:24,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=749926&type=Action
Max Christiano,,Boston Bolts U16 NALB,2025-03-30,Arlington,,Progr Rec,1st Half,01:24,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=749954&type=Action
Milo Brandon,,Boston Bolts U16 NALB,2025-03-30,Arlington,,Loss of Poss,1st Half,01:25,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=749599&type=Action
Milo Brandon,,Boston Bolts U16 NALB,2025-03-30,Arlington,,Line Break,1st Half,01:32,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=749621&type=Action
Milo Brandon,,Boston Bolts U16 NALB,2025-03-30,Arlington,,Throw-in,1st Half,01:32,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=749622&type=Action
Wyatt Conley,,Boston Bolts U16 NALB,2025-03-30,Arlington,,Dribble,1st Half,01:34,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=750397&type=Action
Wyatt Conley,,Boston Bolts U16 NALB,2025-03-30,Arlington,,Unsucc Side Back,1st Half,01:34,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=750413&type=Action
Max Christiano,,Boston Bolts U16 NALB,2025-03-30,Arlington,,Side Back,1st Half,01:43,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=749958&type=Action
Max Christiano,,Boston Bolts U16 NALB,2025-03-30,Arlington,,Progr Inter,1st Half,01:43,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=749950&type=Action
Donovan Eaton,,Boston Bolts U16 NALB,2025-03-30,Arlington,,Side Back,1st Half,01:46,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=749642&type=Action
Max Christiano,,Boston Bolts U16 NALB,2025-03-30,Arlington,,Unsucc Forward,1st Half,01:49,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=749973&type=Action
Oscar Robertson,,Boston Bolts U16 NALB,2025-03-30,Arlington,,Throw-in,1st Half,02:10,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=749578&type=Action
Samuel Safi,,Boston Bolts U16 NALB,2025-03-30,Arlington,,Throw-in,1st Half,02:17,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=750262&type=Action
Oscar Robertson,,Boston Bolts U16 NALB,2025-03-30,Arlington,,Side Back,1st Half,02:18,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=749549&type=Action
Liam Bazant,,Boston Bolts U16 NALB,2025-03-30,Arlington,,Side Back,1st Half,02:22,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=750093&type=Action
Kai Mercer,,Boston Bolts U16 NALB,2025-03-30,Arlington,,Forward,1st Half,02:26,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=750338&type=Action
Liam Bazant,,Boston Bolts U16 NALB,2025-03-30,Arlington,,Side Back,1st Half,02:29,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=750094&type=Action
Kai Mercer,,Boston Bolts U16 NALB,2025-03-30,Arlington,,Side Back,1st Half,02:32,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=750357&type=Action
Owen Spinney,,Boston Bolts U16 NALB,2025-03-30,Arlington,,Forward,1st Half,02:36,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=749789&type=Action
Milo Brandon,,Boston Bolts U16 NALB,2025-03-30,Arlington,,Side Back,1st Half,02:38,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=749607&type=Action
Owen Spinney,,Boston Bolts U16 NALB,2025-03-30,Arlington,,Side Back,1st Half,02:43,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=749811&type=Action
Kai Mercer,,Boston Bolts U16 NALB,2025-03-30,Arlington,,Forward,1st Half,02:46,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=750339&type=Action
Liam Bazant,,Boston Bolts U16 NALB,2025-03-30,Arlington,,Side Back,1st Half,02:49,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=750095&type=Action
Kai Mercer,,Boston Bolts U16 NALB,2025-03-30,Arlington,,Forward,1st Half,02:54,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=750340&type=Action
Joseph Sousa,,Boston Bolts U16 NALB,2025-03-30,Arlington,,Side Back,1st Half,02:57,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=749865&type=Action
Owen Spinney,,Boston Bolts U16 NALB,2025-03-30,Arlington,,Forward,1st Half,02:59,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=749790&type=Action
Milo Brandon,,Boston Bolts U16 NALB,2025-03-30,Arlington,,Forward,1st Half,03:02,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=749592&type=Action
Matthew DeSantis,,Boston Bolts U16 NALB,2025-03-30,Arlington,,Unsucc Side Back,1st Half,03:06,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=750030&type=Action
Owen Spinney,,Boston Bolts U16 NALB,2025-03-30,Arlington,,Clear,1st Half,03:12,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=749782&type=Action
Owen Spinney,,Boston Bolts U16 NALB,2025-03-30,Arlington,,Progr Inter,1st Half,03:12,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=749802&type=Action
Kai Mercer,,Boston Bolts U16 NALB,2025-03-30,Arlington,,Throw-in against,1st Half,03:27,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=750381&type=Action
Kai Mercer,,Boston Bolts U16 NALB,2025-03-30,Arlington,,Ground GK,1st Half,03:41,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=750370&type=Action
Liam Bazant,,Boston Bolts U16 NALB,2025-03-30,Arlington,,Side Back,1st Half,03:42,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=750096&type=Action
Owen Spinney,,Boston Bolts U16 NALB,2025-03-30,Arlington,,Forward,1st Half,03:45,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=749791&type=Action
Milo Brandon,,Boston Bolts U16 NALB,2025-03-30,Arlington,,Unsucc Side Back,1st Half,03:49,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=749609&type=Action
Kai Mercer,,Boston Bolts U16 NALB,2025-03-30,Arlington,,Save Held,1st Half,03:56,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=750366&type=Action
Kai Mercer,,Boston Bolts U16 NALB,2025-03-30,Arlington,,Throw,1st Half,03:56,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=750367&type=Action
Kai Mercer,,Boston Bolts U16 NALB,2025-03-30,Arlington,,Opp Effort on Goal,1st Half,03:56,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=750377&type=Action
Oscar Robertson,,Boston Bolts U16 NALB,2025-03-30,Arlington,,Unsucc Forward,1st Half,04:02,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=749565&type=Action
Oscar Robertson,,Boston Bolts U16 NALB,2025-03-30,Arlington,,Unsucc Stand Tackle,1st Half,04:09,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=749563&type=Action
Oscar Robertson,,Boston Bolts U16 NALB,2025-03-30,Arlington,,Foul Lost,1st Half,04:09,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=749541&type=Action
Milo Brandon,,Boston Bolts U16 NALB,2025-03-30,Arlington,,Headed Clear,1st Half,04:54,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=749618&type=Action
Milo Brandon,,Boston Bolts U16 NALB,2025-03-30,Arlington,,Own Box Clear,1st Half,04:54,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=749619&type=Action
Donovan Eaton,,Boston Bolts U16 NALB,2025-03-30,Arlington,,Unprogr Rec,1st Half,04:59,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=749647&type=Action
Donovan Eaton,,Boston Bolts U16 NALB,2025-03-30,Arlington,,Unsucc Forward,1st Half,04:59,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=749651&type=Action
