,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Action Details,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Player Full Name,,Team,Match Date,Opposition,,Action,Period,Time,,x,y,ex,ey,Dir,Video Link
Casey Powers,,Boston Bolts U17 MLS Next,2025-03-30,Rochester,,Kick Off,1st Half,00:00,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=752000&type=Action
Killian Walsh,,Boston Bolts U17 MLS Next,2025-03-30,Rochester,,Side Back,1st Half,00:00,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=751729&type=Action
Sam Cunniffe,,Boston Bolts U17 MLS Next,2025-03-30,Rochester,,Unsucc Long,1st Half,00:01,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=751869&type=Action
Henry Freeman,,Boston Bolts U17 MLS Next,2025-03-30,Rochester,,Unprogr Rec,1st Half,00:08,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=752269&type=Action
Vasilian Mbrice,,Boston Bolts U17 MLS Next,2025-03-30,Rochester,,Loss of Poss,1st Half,00:17,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=751919&type=Action
Vasilian Mbrice,,Boston Bolts U17 MLS Next,2025-03-30,Rochester,,Unprogr Rec,1st Half,00:17,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=751950&type=Action
Brendan Furlonge,,Boston Bolts U17 MLS Next,2025-03-30,Rochester,,Throw-in,1st Half,00:45,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=751452&type=Action
Jake Ciavarro,,Boston Bolts U17 MLS Next,2025-03-30,Rochester,,Unsucc Long,1st Half,00:47,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=751625&type=Action
Brendan Furlonge,,Boston Bolts U17 MLS Next,2025-03-30,Rochester,,Unprogr Inter,1st Half,01:04,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=751429&type=Action
Brendan Furlonge,,Boston Bolts U17 MLS Next,2025-03-30,Rochester,,Unsucc Stand Tackle,1st Half,01:04,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=751437&type=Action
Brendan Furlonge,,Boston Bolts U17 MLS Next,2025-03-30,Rochester,,Stand Tackle,1st Half,01:10,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=751367&type=Action
Brendan Furlonge,,Boston Bolts U17 MLS Next,2025-03-30,Rochester,,Foul Won,1st Half,01:10,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=751392&type=Action
Jake Ciavarro,,Boston Bolts U17 MLS Next,2025-03-30,Rochester,,FK,1st Half,01:21,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=751580&type=Action
Jake Ciavarro,,Boston Bolts U17 MLS Next,2025-03-30,Rochester,,Side Back,1st Half,01:21,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=751598&type=Action
Casey Powers,,Boston Bolts U17 MLS Next,2025-03-30,Rochester,,Side Back,1st Half,01:23,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=751988&type=Action
Sam Cunniffe,,Boston Bolts U17 MLS Next,2025-03-30,Rochester,,Side Back,1st Half,01:27,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=751848&type=Action
Casey Powers,,Boston Bolts U17 MLS Next,2025-03-30,Rochester,,Side Back,1st Half,01:31,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=751989&type=Action
Jake Ciavarro,,Boston Bolts U17 MLS Next,2025-03-30,Rochester,,Side Back,1st Half,01:36,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=751599&type=Action
Casey Powers,,Boston Bolts U17 MLS Next,2025-03-30,Rochester,,Side Back,1st Half,01:40,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=751990&type=Action
Sam Cunniffe,,Boston Bolts U17 MLS Next,2025-03-30,Rochester,,Side Back,1st Half,01:45,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=751849&type=Action
Casey Powers,,Boston Bolts U17 MLS Next,2025-03-30,Rochester,,Unsucc Forward,1st Half,01:52,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=751992&type=Action
Brendan Furlonge,,Boston Bolts U17 MLS Next,2025-03-30,Rochester,,Throw-in,1st Half,02:09,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=751453&type=Action
Killian Walsh,,Boston Bolts U17 MLS Next,2025-03-30,Rochester,,Unsucc Forward,1st Half,02:11,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=751735&type=Action
Jake Ciavarro,,Boston Bolts U17 MLS Next,2025-03-30,Rochester,,Unsucc Forward,1st Half,02:16,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=751620&type=Action
Jake Ciavarro,,Boston Bolts U17 MLS Next,2025-03-30,Rochester,,Unprogr Rec,1st Half,02:16,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=751617&type=Action
Vasilian Mbrice,,Boston Bolts U17 MLS Next,2025-03-30,Rochester,,Unprogr Rec,1st Half,02:20,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=751951&type=Action
Vasilian Mbrice,,Boston Bolts U17 MLS Next,2025-03-30,Rochester,,Unsucc Side Back,1st Half,02:20,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=751955&type=Action
Henry Freeman,,Boston Bolts U17 MLS Next,2025-03-30,Rochester,,Foul Lost,1st Half,02:27,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=752253&type=Action
Casey Powers,,Boston Bolts U17 MLS Next,2025-03-30,Rochester,,Opp Effort on Goal,1st Half,03:07,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=752029&type=Action
Casey Powers,,Boston Bolts U17 MLS Next,2025-03-30,Rochester,,Throw,1st Half,03:07,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=752011&type=Action
Casey Powers,,Boston Bolts U17 MLS Next,2025-03-30,Rochester,,Save Held,1st Half,03:07,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=752007&type=Action
Vasilian Mbrice,,Boston Bolts U17 MLS Next,2025-03-30,Rochester,,Forward,1st Half,03:14,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=751901&type=Action
Julian Martinez,,Boston Bolts U17 MLS Next,2025-03-30,Rochester,,Forward,1st Half,03:17,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=752124&type=Action
Julian Martinez,,Boston Bolts U17 MLS Next,2025-03-30,Rochester,,Line Break,1st Half,03:17,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=752178&type=Action
Killian Walsh,,Boston Bolts U17 MLS Next,2025-03-30,Rochester,,Cross,1st Half,03:20,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=751721&type=Action
Killian Walsh,,Boston Bolts U17 MLS Next,2025-03-30,Rochester,,Dribble,1st Half,03:20,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=751723&type=Action
Jonah Greenblatt,,Boston Bolts U17 MLS Next,2025-03-30,Rochester,,Stand Tackle,1st Half,03:25,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=751644&type=Action
Jonah Greenblatt,,Boston Bolts U17 MLS Next,2025-03-30,Rochester,,Loss of Poss,1st Half,03:25,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=751659&type=Action
Vasilian Mbrice,,Boston Bolts U17 MLS Next,2025-03-30,Rochester,,Dribble,1st Half,03:45,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=751899&type=Action
Vasilian Mbrice,,Boston Bolts U17 MLS Next,2025-03-30,Rochester,,Loss of Poss,1st Half,03:45,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=751920&type=Action
Vasilian Mbrice,,Boston Bolts U17 MLS Next,2025-03-30,Rochester,,Progr Rec,1st Half,03:45,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=751928&type=Action
Vasilian Mbrice,,Boston Bolts U17 MLS Next,2025-03-30,Rochester,,Att 1v1,1st Half,03:45,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=751965&type=Action
Karim Eljamal,,Boston Bolts U17 MLS Next,2025-03-30,Rochester,,Unsucc Corner Kick,1st Half,04:36,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=752106&type=Action
Jake Ciavarro,,Boston Bolts U17 MLS Next,2025-03-30,Rochester,,Pass into Oppo Box,1st Half,04:40,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=751632&type=Action
Jake Ciavarro,,Boston Bolts U17 MLS Next,2025-03-30,Rochester,,Progr Rec,1st Half,04:40,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=751590&type=Action
Jake Ciavarro,,Boston Bolts U17 MLS Next,2025-03-30,Rochester,,Forward,1st Half,04:40,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=751552&type=Action
Sam Cunniffe,,Boston Bolts U17 MLS Next,2025-03-30,Rochester,,Unsucc Side Back,1st Half,04:41,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=751874&type=Action
Devin Smith,,Boston Bolts U17 MLS Next,2025-03-30,Rochester,,Unprogr Rec,1st Half,04:49,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=751496&type=Action
Devin Smith,,Boston Bolts U17 MLS Next,2025-03-30,Rochester,,Unsucc Side Back,1st Half,04:49,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=751502&type=Action
Casey Powers,,Boston Bolts U17 MLS Next,2025-03-30,Rochester,,Save Held,1st Half,04:58,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=752008&type=Action
Casey Powers,,Boston Bolts U17 MLS Next,2025-03-30,Rochester,,Throw,1st Half,04:58,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=752012&type=Action
Casey Powers,,Boston Bolts U17 MLS Next,2025-03-30,Rochester,,Opp Effort on Goal,1st Half,04:58,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=752030&type=Action
Jake Ciavarro,,Boston Bolts U17 MLS Next,2025-03-30,Rochester,,Forward,1st Half,05:08,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=751553&type=Action
Karim Eljamal,,Boston Bolts U17 MLS Next,2025-03-30,Rochester,,Unsucc Forward,1st Half,05:11,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=752100&type=Action
Karim Eljamal,,Boston Bolts U17 MLS Next,2025-03-30,Rochester,,Unsucc Forward,1st Half,05:17,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=752101&type=Action
Karim Eljamal,,Boston Bolts U17 MLS Next,2025-03-30,Rochester,,Unprogr Rec,1st Half,05:17,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=752098&type=Action
Brendan Furlonge,,Boston Bolts U17 MLS Next,2025-03-30,Rochester,,Throw-in,1st Half,05:28,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=751454&type=Action
Brendan Furlonge,,Boston Bolts U17 MLS Next,2025-03-30,Rochester,,Throw-in,1st Half,05:41,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=751455&type=Action
Jake Ciavarro,,Boston Bolts U17 MLS Next,2025-03-30,Rochester,,Side Back,1st Half,05:45,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=751600&type=Action
Sam Cunniffe,,Boston Bolts U17 MLS Next,2025-03-30,Rochester,,Forward,1st Half,05:46,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=751785&type=Action
Henry Freeman,,Boston Bolts U17 MLS Next,2025-03-30,Rochester,,Side Back,1st Half,05:49,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=752261&type=Action
Karim Eljamal,,Boston Bolts U17 MLS Next,2025-03-30,Rochester,,Side Back,1st Half,05:49,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=752085&type=Action
Sam Cunniffe,,Boston Bolts U17 MLS Next,2025-03-30,Rochester,,Long,1st Half,05:52,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=751822&type=Action
Jonah Greenblatt,,Boston Bolts U17 MLS Next,2025-03-30,Rochester,,Forward,1st Half,05:58,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=751650&type=Action
Jonah Greenblatt,,Boston Bolts U17 MLS Next,2025-03-30,Rochester,,Att Aerial,1st Half,05:58,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=751643&type=Action
Killian Walsh,,Boston Bolts U17 MLS Next,2025-03-30,Rochester,,Dribble,1st Half,05:59,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=751724&type=Action
Killian Walsh,,Boston Bolts U17 MLS Next,2025-03-30,Rochester,,Unsucc Cross,1st Half,05:59,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=751734&type=Action
Karim Eljamal,,Boston Bolts U17 MLS Next,2025-03-30,Rochester,,Forward,1st Half,06:09,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=752066&type=Action
Karim Eljamal,,Boston Bolts U17 MLS Next,2025-03-30,Rochester,,Def Aerial,1st Half,06:09,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=752056&type=Action
Vasilian Mbrice,,Boston Bolts U17 MLS Next,2025-03-30,Rochester,,Side Back,1st Half,06:10,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=751936&type=Action
Jake Ciavarro,,Boston Bolts U17 MLS Next,2025-03-30,Rochester,,Side Back,1st Half,06:13,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=751601&type=Action
Sam Cunniffe,,Boston Bolts U17 MLS Next,2025-03-30,Rochester,,Line Break,1st Half,06:15,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=751881&type=Action
Sam Cunniffe,,Boston Bolts U17 MLS Next,2025-03-30,Rochester,,Forward,1st Half,06:15,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=751786&type=Action
Julian Martinez,,Boston Bolts U17 MLS Next,2025-03-30,Rochester,,Forward,1st Half,06:17,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=752125&type=Action
Julian Martinez,,Boston Bolts U17 MLS Next,2025-03-30,Rochester,,Pass into Oppo Box,1st Half,06:17,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=752175&type=Action
Henry Freeman,,Boston Bolts U17 MLS Next,2025-03-30,Rochester,,Unsucc Cross,1st Half,06:21,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=752272&type=Action
Brendan Furlonge,,Boston Bolts U17 MLS Next,2025-03-30,Rochester,,Loss of Poss,1st Half,06:42,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=751397&type=Action
Brendan Furlonge,,Boston Bolts U17 MLS Next,2025-03-30,Rochester,,Unprogr Inter,1st Half,06:42,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=751430&type=Action
Karim Eljamal,,Boston Bolts U17 MLS Next,2025-03-30,Rochester,,Stand Tackle,1st Half,06:45,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=752057&type=Action
Karim Eljamal,,Boston Bolts U17 MLS Next,2025-03-30,Rochester,,Loss of Poss,1st Half,06:45,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=752078&type=Action
Karim Eljamal,,Boston Bolts U17 MLS Next,2025-03-30,Rochester,,Side Back,1st Half,06:52,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=752086&type=Action
Karim Eljamal,,Boston Bolts U17 MLS Next,2025-03-30,Rochester,,Progr Rec,1st Half,06:52,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=752081&type=Action
Jake Ciavarro,,Boston Bolts U17 MLS Next,2025-03-30,Rochester,,Side Back,1st Half,06:54,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=751602&type=Action
Sam Cunniffe,,Boston Bolts U17 MLS Next,2025-03-30,Rochester,,Forward,1st Half,06:56,Video,,,,,,http://bolts.soccerintelligence.com:9090/video?id=751787&type=Action
