,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ReportWeekly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period Name,,Squad Number,Player Full Name,,mins played,Team Name,Match Name,Position Tag,As At Date,Round Name,Match Date,Yellow Card,Red Card,Goal,Assist,Dribble,Offside,Own Goal,Goal Against,Stand. Tackle,Unsucc Stand. Tackle,Tackle,Unsucc Tackle,Def Aerial,Unsucc Def Aerial,Clear,Headed Clear,Own Box Clear,Progr Rec,Unprogr Rec,Progr Inter,Unprogr Inter,Progr Regain ,Blocked Shot,Blocked Cross,Stand. Tackle Success ,Tackle Success ,Def Aerial Success ,Att 1v1,Att Aerial,Efforts on Goal,Header on Target,Header off Target,Shot on Target,Shot off Target,Att Shot Blockd,Cross,Unsucc Cross,Efficiency ,Side Back,Unsucc Side Back,Long,Unsucc Long,Forward,Unsucc Forward,Line Break,Pass into Oppo Box,Loss of Poss,Success,Unsuccess,Pass Completion ,Progr Pass Attempt ,Progr Pass Completion ,Foul Won,Foul Conceded,FK,Unsucc FK,Corner Kick,Short Corner,Unsucc Corner Kick,PK Won,PK Conceded,PK Scored,PK Missed,Throw,Unsucc Throw,Hands GK,Unsucc Hands,Ground GK,Unsucc Ground,Save Held,Save Parried,Save % ,Successful Cross,Opposition,Starts,
1st Half,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,Adlani Rodriguez,,23,Boston Bolts U15,Boston Bolts U15 vs. NEFC U15 2023-10-28,DM,10/28/2023 12:00:00 AM,Round 1028,10/28/2023 12:00:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,66.67,0,0,,,,0,0,0,0,0,0,0,0,0,0,,5,0,0,0,2,2,0,0,0,7,2,77.78,44.44,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,NEFC U15,1,
,,0,Adlani Rodriguez,,17,Boston Bolts U15,Boston Bolts U15 vs. NEFC U15 2023-10-28,RCB,10/28/2023 12:00:00 AM,Round 1028,10/28/2023 12:00:00 AM,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,100,,,0,0,0,0,0,0,0,0,0,0,,5,0,0,1,0,1,0,0,0,5,2,71.43,28.57,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,NEFC U15,0,
,,0,Aiden Mejia,,40,Boston Bolts U15,Boston Bolts U15 vs. NEFC U15 2023-10-28,LB,10/28/2023 12:00:00 AM,Round 1028,10/28/2023 12:00:00 AM,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,66.67,0,0,,,,0,0,0,0,0,0,0,0,0,0,,2,0,0,0,11,1,0,1,1,13,1,92.86,85.71,91.67,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,NEFC U15,1,
,,0,Ben Marro,,40,Boston Bolts U15,Boston Bolts U15 vs. NEFC U15 2023-10-28,GK,10/28/2023 12:00:00 AM,Round 1028,10/28/2023 12:00:00 AM,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,0,0,,1,0,2,4,11,2,1,0,0,14,6,70,95,68.42,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,NEFC U15,1,
,,0,Christian Kence,,40,Boston Bolts U15,Boston Bolts U15 vs. NEFC U15 2023-10-28,CM,10/28/2023 12:00:00 AM,Round 1028,10/28/2023 12:00:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,100,0,0,,,,0,0,0,0,0,0,0,0,1,0,,6,1,0,1,6,1,0,2,3,12,3,80,53.33,75,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,NEFC U15,1,
,,0,Dean Lundqvist,,40,Boston Bolts U15,Boston Bolts U15 vs. NEFC U15 2023-10-28,LCB,10/28/2023 12:00:00 AM,Round 1028,10/28/2023 12:00:00 AM,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,3,3,0,0,50,1,1,100,,,0,0,0,0,0,0,0,0,0,0,,5,0,0,2,12,2,2,0,1,17,4,80.95,76.19,75,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,NEFC U15,1,
,,0,Ethan Fine,,40,Boston Bolts U15,Boston Bolts U15 vs. NEFC U15 2023-10-28,ATT,10/28/2023 12:00:00 AM,Round 1028,10/28/2023 12:00:00 AM,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,66.67,0,0,100,,,0,0,2,0,0,0,1,1,2,0,0,5,0,1,0,1,2,2,0,6,7,2,77.78,44.44,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,NEFC U15,1,
,,0,Gabriel Raley,,40,Boston Bolts U15,Boston Bolts U15 vs. NEFC U15 2023-10-28,RB,10/28/2023 12:00:00 AM,Round 1028,10/28/2023 12:00:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,1,62.5,0,1,,,,0,0,1,0,0,0,1,0,0,1,0,4,0,0,0,8,2,0,0,3,12,2,85.71,71.43,80,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,NEFC U15,1,
,,0,Julian Martinez,,40,Boston Bolts U15,Boston Bolts U15 vs. NEFC U15 2023-10-28,LW,10/28/2023 12:00:00 AM,Round 1028,10/28/2023 12:00:00 AM,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,2,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,3,5,0,100,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,NEFC U15,1,
