,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ReportWeekly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period Name,,Squad Number,Player Full Name,,mins played,Team Name,Match Name,Position Tag,As At Date,Round Name,Match Date,Yellow Card,Red Card,Goal,Assist,Dribble,Offside,Own Goal,Goal Against,Stand. Tackle,Unsucc Stand. Tackle,Tackle,Unsucc Tackle,Def Aerial,Unsucc Def Aerial,Clear,Headed Clear,Own Box Clear,Progr Rec,Unprogr Rec,Progr Inter,Unprogr Inter,Progr Regain ,Blocked Shot,Blocked Cross,Stand. Tackle Success ,Tackle Success ,Def Aerial Success ,Att 1v1,Att Aerial,Efforts on Goal,Header on Target,Header off Target,Shot on Target,Shot off Target,Att Shot Blockd,Cross,Unsucc Cross,Efficiency ,Side Back,Unsucc Side Back,Long,Unsucc Long,Forward,Unsucc Forward,Line Break,Pass into Oppo Box,Loss of Poss,Success,Unsuccess,Pass Completion ,Progr Pass Attempt ,Progr Pass Completion ,Foul Won,Foul Conceded,FK,Unsucc FK,Corner Kick,Short Corner,Unsucc Corner Kick,PK Won,PK Conceded,PK Scored,PK Missed,Throw,Unsucc Throw,Hands GK,Unsucc Hands,Ground GK,Unsucc Ground,Save Held,Save Parried,Save % ,Successful Cross,Opposition,Starts,,Unsucc Att 1v1,Att 1v1 Success % ,Unsucc Dribble,Dribble Success % ,Throw in,Opp Effort on Goal
1st Half,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,Amir Yahalom,,45,Boston Bolts U19,Boston Bolts U19 vs. Bayside 2024-03-24,CM,3/24/2024 12:00:00 AM,Round 0324,3/24/2024 12:00:00 AM,0,0,1,0,2,2,0,0,1,0,0,0,0,0,0,0,0,6,0,0,1,85.71,0,0,100,,,0,0,1,0,0,1,0,0,0,1,100,15,1,2,1,22,5,3,4,1,39,7,84.78,65.22,80,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Bayside,1,,0,,0,100,1,0
,,0,Andreas Garcia,,45,Boston Bolts U19,Boston Bolts U19 vs. Bayside 2024-03-24,LW,3/24/2024 12:00:00 AM,Round 0324,3/24/2024 12:00:00 AM,0,0,2,0,5,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,75,0,0,,,,1,0,2,0,0,2,0,0,0,3,100,5,0,1,0,5,1,1,1,1,11,1,91.67,58.33,85.71,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Bayside,1,,0,100,0,100,0,0
,,0,Andrew Plourde,,45,Boston Bolts U19,Boston Bolts U19 vs. Bayside 2024-03-24,LB,3/24/2024 12:00:00 AM,Round 0324,3/24/2024 12:00:00 AM,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,1,1,0,80,0,0,100,0,,0,0,0,0,0,0,0,0,1,0,,8,1,0,0,6,3,1,0,2,14,4,77.78,50,66.67,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Bayside,1,,0,,0,,6,0
,,0,Joseph Perotta,,45,Boston Bolts U19,Boston Bolts U19 vs. Bayside 2024-03-24,CM,3/24/2024 12:00:00 AM,Round 0324,3/24/2024 12:00:00 AM,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,1,2,0,87.5,0,0,,,,0,0,1,0,0,1,0,0,0,1,100,12,0,2,0,11,1,2,1,1,25,1,96.15,53.85,92.86,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,Bayside,1,,0,,0,,0,0
,,0,Nayan Das,,45,Boston Bolts U19,Boston Bolts U19 vs. Bayside 2024-03-24,LCB,3/24/2024 12:00:00 AM,Round 0324,3/24/2024 12:00:00 AM,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,3,0,0,0,100,0,0,100,0,100,1,0,0,0,0,0,0,0,0,0,,7,0,0,0,9,1,1,1,0,16,1,94.12,58.82,90,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Bayside,1,,0,100,0,100,0,0
,,0,Owen Baldwin,,45,Boston Bolts U19,Boston Bolts U19 vs. Bayside 2024-03-24,RB,3/24/2024 12:00:00 AM,Round 0324,3/24/2024 12:00:00 AM,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,1,1,2,0,75,0,0,,,,1,0,0,0,0,0,0,0,0,1,,7,0,0,0,8,4,1,1,2,15,4,78.95,63.16,66.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Bayside,1,,0,100,0,100,5,0
,,0,Shai Saarony,,45,Boston Bolts U19,Boston Bolts U19 vs. Bayside 2024-03-24,RW,3/24/2024 12:00:00 AM,Round 0324,3/24/2024 12:00:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,50,0,0,,,,0,0,0,0,0,0,0,0,0,0,,16,1,1,0,4,1,0,1,2,21,2,91.3,26.09,83.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Bayside,1,,0,,0,,0,0
,,0,Zachary Miles,,45,Boston Bolts U19,Boston Bolts U19 vs. Bayside 2024-03-24,RCB,3/24/2024 12:00:00 AM,Round 0324,3/24/2024 12:00:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,6,0,1,0,100,0,1,,,100,0,0,0,0,0,0,0,0,0,0,,8,0,1,0,20,2,1,0,0,29,2,93.55,74.19,91.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Bayside,1,,0,,0,,1,0
,,0,Christi Vilkimkin,,45,Boston Bolts U19,Boston Bolts U19 vs. Bayside 2024-03-24,ATT,3/24/2024 12:00:00 AM,Round 0324,3/24/2024 12:00:00 AM,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,100,0,0,,,,0,0,0,0,0,0,0,0,0,0,,5,0,0,0,5,1,0,2,7,10,1,90.91,54.55,83.33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Bayside,1,,0,,0,100,0,0
