,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ReportWeekly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period Name,,Squad Number,Player Full Name,,mins played,Team Name,Match Name,Position Tag,As At Date,Round Name,Match Date,Yellow Card,Red Card,Goal,Assist,Dribble,Offside,Own Goal,Goal Against,Stand. Tackle,Unsucc Stand. Tackle,Tackle,Unsucc Tackle,Def Aerial,Unsucc Def Aerial,Clear,Headed Clear,Own Box Clear,Progr Rec,Unprogr Rec,Progr Inter,Unprogr Inter,Progr Regain ,Blocked Shot,Blocked Cross,Stand. Tackle Success ,Tackle Success ,Def Aerial Success ,Att 1v1,Att Aerial,Efforts on Goal,Header on Target,Header off Target,Shot on Target,Shot off Target,Att Shot Blockd,Cross,Unsucc Cross,Efficiency ,Side Back,Unsucc Side Back,Long,Unsucc Long,Forward,Unsucc Forward,Line Break,Pass into Oppo Box,Loss of Poss,Success,Unsuccess,Pass Completion ,Progr Pass Attempt ,Progr Pass Completion ,Foul Won,Foul Conceded,FK,Unsucc FK,Corner Kick,Short Corner,Unsucc Corner Kick,PK Won,PK Conceded,PK Scored,PK Missed,Throw,Unsucc Throw,Hands GK,Unsucc Hands,Ground GK,Unsucc Ground,Save Held,Save Parried,Save % ,Successful Cross,Opposition,Starts,,Unsucc Att 1v1,Att 1v1 Success % ,Unsucc Dribble,Dribble Success % ,Throw in,Opp Effort on Goal
1st Half,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,Amir Yahalom,,45,Boston Bolts U19,Seacoast vs. Boston Bolts U19 2024-04-28,CM,4/28/2024 12:00:00 AM,Round 0428,4/28/2024 12:00:00 AM,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,100,0,0,,,,0,0,1,0,0,1,0,0,0,1,100,10,0,0,1,14,7,0,0,4,24,8,75,68.75,63.64,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Seacoast,1,,0,,0,100,1,0
,,0,Andreas Garcia,,45,Boston Bolts U19,Seacoast vs. Boston Bolts U19 2024-04-28,LW,4/28/2024 12:00:00 AM,Round 0428,4/28/2024 12:00:00 AM,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,75,0,0,,,,0,0,1,0,0,1,0,0,0,2,100,4,3,0,0,5,4,0,2,7,9,7,56.25,56.25,55.56,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Seacoast,1,,0,,0,100,0,0
,,0,Daniel Woodward,,45,Boston Bolts U19,Seacoast vs. Boston Bolts U19 2024-04-28,LM,4/28/2024 12:00:00 AM,Round 0428,4/28/2024 12:00:00 AM,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,1,0,66.67,0,0,100,,50,0,0,0,0,0,0,0,0,0,0,,5,1,0,0,7,1,0,0,2,12,2,85.71,57.14,87.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Seacoast,1,,0,,0,,4,0
,,0,Dylan Furlonge,,45,Boston Bolts U19,Seacoast vs. Boston Bolts U19 2024-04-28,RM,4/28/2024 12:00:00 AM,Round 0428,4/28/2024 12:00:00 AM,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,100,0,0,,,,0,0,0,0,0,0,0,0,0,0,,6,1,0,1,9,1,1,1,0,15,3,83.33,61.11,81.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Seacoast,1,,0,,0,100,6,0
,,0,Henry Wasserman,,45,Boston Bolts U19,Seacoast vs. Boston Bolts U19 2024-04-28,CB,4/28/2024 12:00:00 AM,Round 0428,4/28/2024 12:00:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,5,0,7,0,100,0,0,,,100,0,0,0,0,0,0,0,0,0,0,,5,0,0,0,25,0,0,0,0,30,0,100,83.33,100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Seacoast,1,,0,,0,,0,0
,,0,Jinsei Murakawa,,45,Boston Bolts U19,Seacoast vs. Boston Bolts U19 2024-04-28,LCB,4/28/2024 12:00:00 AM,Round 0428,4/28/2024 12:00:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,4,0,75,0,1,,,,0,0,0,0,0,0,0,0,0,0,,6,0,1,0,8,4,1,0,1,15,4,78.95,68.42,69.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Seacoast,1,,0,,0,,0,0
,,0,Michael Vella,,45,Boston Bolts U19,Seacoast vs. Boston Bolts U19 2024-04-28,ATT,4/28/2024 12:00:00 AM,Round 0428,4/28/2024 12:00:00 AM,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,100,0,0,,,,0,0,0,0,0,0,0,0,0,0,,5,1,0,0,4,2,0,0,4,9,3,75,50,66.67,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,,0,Seacoast,1,,0,,0,100,0,0
,,0,Nayan Das,,45,Boston Bolts U19,Seacoast vs. Boston Bolts U19 2024-04-28,CM,4/28/2024 12:00:00 AM,Round 0428,4/28/2024 12:00:00 AM,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,100,1,0,,,,1,0,1,0,0,0,0,1,0,1,0,3,0,0,0,7,2,0,0,0,10,2,83.33,75,77.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Seacoast,1,,0,100,0,100,0,0
,,0,Shai Saarony,,45,Boston Bolts U19,Seacoast vs. Boston Bolts U19 2024-04-28,RW,4/28/2024 12:00:00 AM,Round 0428,4/28/2024 12:00:00 AM,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100,0,0,,,,0,0,1,0,0,1,0,0,0,0,100,2,0,0,0,4,1,0,0,2,6,1,85.71,71.43,80,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Seacoast,1,,0,,0,100,0,0
,,0,Zachary Miles,,45,Boston Bolts U19,Seacoast vs. Boston Bolts U19 2024-04-28,RCB,4/28/2024 12:00:00 AM,Round 0428,4/28/2024 12:00:00 AM,0,0,0,0,0,0,0,0,1,0,0,0,3,0,2,1,1,3,1,2,0,83.33,0,0,100,,100,0,0,0,0,0,0,0,0,0,0,,7,0,0,1,13,1,2,1,0,20,2,90.91,68.18,86.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Seacoast,1,,0,,0,,0,0
,,0,Jackson Magee,,45,Boston Bolts U19,Seacoast vs. Boston Bolts U19 2024-04-28,GK,4/28/2024 12:00:00 AM,Round 0428,4/28/2024 12:00:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,100,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,6,0,0,0,0,7,0,100,100,100,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,4,0,1,2,100,0,Seacoast,1,,0,,0,,0,6
2nd Half,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,Adin Pezo,,20,Boston Bolts U19,Seacoast vs. Boston Bolts U19 2024-04-28,RW,4/28/2024 12:00:00 AM,Round 0428,4/28/2024 12:00:00 AM,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,100,0,0,,,,1,0,0,0,0,0,0,0,0,0,,3,0,0,0,1,1,0,1,1,4,1,80,40,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Seacoast,0,,0,100,0,100,0,0
,,0,Amir Yahalom,,45,Boston Bolts U19,Seacoast vs. Boston Bolts U19 2024-04-28,CM,4/28/2024 12:00:00 AM,Round 0428,4/28/2024 12:00:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,100,0,0,,,,0,0,0,0,0,0,0,0,0,0,,9,0,2,0,10,3,1,0,1,21,3,87.5,62.5,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Seacoast,0,,0,,0,,0,0
,,0,Andreas Garcia,,45,Boston Bolts U19,Seacoast vs. Boston Bolts U19 2024-04-28,LW,4/28/2024 12:00:00 AM,Round 0428,4/28/2024 12:00:00 AM,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,100,0,0,,,,0,0,3,0,0,3,0,0,0,0,100,3,0,1,1,6,0,0,0,2,10,1,90.91,72.73,87.5,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Seacoast,0,,0,,0,100,0,0
,,0,Andrew Plourde,,27,Boston Bolts U19,Seacoast vs. Boston Bolts U19 2024-04-28,LM,4/28/2024 12:00:00 AM,Round 0428,4/28/2024 12:00:00 AM,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,100,0,0,100,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,0,1,1,50,100,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Seacoast,0,,0,,0,,3,0
,,0,Daniel Woodward,,18,Boston Bolts U19,Seacoast vs. Boston Bolts U19 2024-04-28,LM,4/28/2024 12:00:00 AM,Round 0428,4/28/2024 12:00:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,2,0,0,2,0,2,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Seacoast,0,,0,,0,,1,0
,,0,Dylan Furlonge,,11,Boston Bolts U19,Seacoast vs. Boston Bolts U19 2024-04-28,RM,4/28/2024 12:00:00 AM,Round 0428,4/28/2024 12:00:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,,,,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,100,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Seacoast,0,,0,,0,,3,0
,,0,Henry Wasserman,,45,Boston Bolts U19,Seacoast vs. Boston Bolts U19 2024-04-28,CB,4/28/2024 12:00:00 AM,Round 0428,4/28/2024 12:00:00 AM,0,0,0,0,1,0,0,0,0,0,1,0,1,0,2,0,2,1,1,4,0,83.33,0,0,,100,100,0,0,0,0,0,0,0,0,0,0,,1,0,0,2,17,1,4,0,0,18,3,85.71,95.24,85,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Seacoast,0,,0,,0,100,0,0
,,0,Jinsei Murakawa,,45,Boston Bolts U19,Seacoast vs. Boston Bolts U19 2024-04-28,LCB,4/28/2024 12:00:00 AM,Round 0428,4/28/2024 12:00:00 AM,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,2,0,100,1,1,100,,,0,0,0,0,0,0,0,0,0,0,,5,0,0,2,6,4,2,0,2,11,6,64.71,70.59,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Seacoast,0,,0,,0,,0,0
,,0,Joseph Perotta,,20,Boston Bolts U19,Seacoast vs. Boston Bolts U19 2024-04-28,CM,4/28/2024 12:00:00 AM,Round 0428,4/28/2024 12:00:00 AM,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,100,0,0,,0,,0,0,1,0,0,0,1,0,0,0,0,6,0,0,0,0,2,0,0,1,6,2,75,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Seacoast,0,,0,,0,100,0,0
,,0,Michael Vella,,11,Boston Bolts U19,Seacoast vs. Boston Bolts U19 2024-04-28,ATT,4/28/2024 12:00:00 AM,Round 0428,4/28/2024 12:00:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,0,0,,2,0,0,0,0,0,0,0,0,2,0,100,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Seacoast,0,,0,,0,,0,0
,,0,Nayan Das,,25,Boston Bolts U19,Seacoast vs. Boston Bolts U19 2024-04-28,CM,4/28/2024 12:00:00 AM,Round 0428,4/28/2024 12:00:00 AM,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,100,0,0,,,,1,0,0,0,0,0,0,0,0,0,,3,0,0,0,2,1,0,0,0,5,1,83.33,50,66.67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Seacoast,0,,0,100,0,100,0,0
,,0,Christian Martins,,34,Boston Bolts U19,Seacoast vs. Boston Bolts U19 2024-04-28,ATT,4/28/2024 12:00:00 AM,Round 0428,4/28/2024 12:00:00 AM,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,100,0,0,100,,,0,0,2,0,0,0,2,0,0,0,0,5,0,0,0,3,2,0,0,2,8,2,80,50,60,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,Seacoast,0,,0,,0,100,0,0
,,0,Owen Baldwin,,34,Boston Bolts U19,Seacoast vs. Boston Bolts U19 2024-04-28,RM,4/28/2024 12:00:00 AM,Round 0428,4/28/2024 12:00:00 AM,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,1,1,3,0,80,0,1,,100,,0,0,0,0,0,0,0,0,0,0,,5,0,0,0,3,2,0,0,0,8,2,80,50,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Seacoast,0,,0,,0,,4,0
,,0,Shai Saarony,,25,Boston Bolts U19,Seacoast vs. Boston Bolts U19 2024-04-28,RW,4/28/2024 12:00:00 AM,Round 0428,4/28/2024 12:00:00 AM,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,50,0,0,100,,,0,0,0,0,0,0,0,0,0,1,,1,0,0,0,1,1,0,0,2,2,1,66.67,66.67,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Seacoast,0,,0,,0,,0,0
,,0,Zachary Miles,,45,Boston Bolts U19,Seacoast vs. Boston Bolts U19 2024-04-28,RCB,4/28/2024 12:00:00 AM,Round 0428,4/28/2024 12:00:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,2,2,0,50,0,0,,,100,0,0,0,0,0,0,0,0,0,0,,7,0,1,1,6,3,1,0,0,14,4,77.78,61.11,63.64,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Seacoast,0,,0,,0,,0,0
,,0,Jackson Magee,,45,Boston Bolts U19,Seacoast vs. Boston Bolts U19 2024-04-28,GK,4/28/2024 12:00:00 AM,Round 0428,4/28/2024 12:00:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,100,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,5,0,0,0,0,6,0,100,100,100,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,1,100,2,Seacoast,0,,0,,0,,0,6
