,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ReportWeekly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period Name,,Squad Number,Player Full Name,,mins played,Team Name,Match Name,Position Tag,As At Date,Round Name,Match Date,Yellow Card,Red Card,Goal,Assist,Dribble,Offside,Own Goal,Goal Against,Stand. Tackle,Unsucc Stand. Tackle,Tackle,Unsucc Tackle,Def Aerial,Unsucc Def Aerial,Clear,Headed Clear,Own Box Clear,Progr Rec,Unprogr Rec,Progr Inter,Unprogr Inter,Progr Regain ,Blocked Shot,Blocked Cross,Stand. Tackle Success ,Tackle Success ,Def Aerial Success ,Att 1v1,Att Aerial,Efforts on Goal,Header on Target,Header off Target,Shot on Target,Shot off Target,Att Shot Blockd,Cross,Unsucc Cross,Efficiency ,Side Back,Unsucc Side Back,Long,Unsucc Long,Forward,Unsucc Forward,Line Break,Pass into Oppo Box,Loss of Poss,Success,Unsuccess,Pass Completion ,Progr Pass Attempt ,Progr Pass Completion ,Foul Won,Foul Conceded,FK,Unsucc FK,Corner Kick,Short Corner,Unsucc Corner Kick,PK Won,PK Conceded,PK Scored,PK Missed,Throw,Unsucc Throw,Hands GK,Unsucc Hands,Ground GK,Unsucc Ground,Save Held,Save Parried,Save % ,Successful Cross,Opposition,Starts,,Unsucc Att 1v1,Att 1v1 Success % ,Unsucc Dribble,Dribble Success % ,Throw in,Opp Effort on Goal
1st Half,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,Finn van Clief,,45,Boston Bolts U16,Boston Bolts U16 vs. NYSC 2024-03-23,ATT,3/23/2024 12:00:00 AM,Round 0323,3/23/2024 12:00:00 AM,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,100,0,0,,,,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,3,0,100,33.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,NYSC,1,,0,,0,,0,0
,,0,Jonah Greenblatt,,45,Boston Bolts U16,Boston Bolts U16 vs. NYSC 2024-03-23,LWB,3/23/2024 12:00:00 AM,Round 0323,3/23/2024 12:00:00 AM,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,1,4,1,75,0,0,,,,1,0,1,0,0,0,1,0,0,2,0,9,1,0,0,8,2,0,2,2,17,3,85,50,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,NYSC,1,,0,100,0,100,6,0
,,0,Kaio Morias,,45,Boston Bolts U16,Boston Bolts U16 vs. NYSC 2024-03-23,RWB,3/23/2024 12:00:00 AM,Round 0323,3/23/2024 12:00:00 AM,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,66.67,0,0,,,,0,0,0,0,0,0,0,0,1,0,,7,0,0,0,9,2,0,1,2,16,2,88.89,61.11,81.82,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,NYSC,1,,0,,0,100,2,0
,,0,Killian Walsh,,45,Boston Bolts U16,Boston Bolts U16 vs. NYSC 2024-03-23,ATT,3/23/2024 12:00:00 AM,Round 0323,3/23/2024 12:00:00 AM,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,50,0,0,,,,1,0,3,0,1,2,0,0,0,3,66.67,3,2,0,0,0,0,0,1,0,3,2,60,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,NYSC,1,,0,100,0,100,0,0
,,0,Marcus Cooper,,45,Boston Bolts U16,Boston Bolts U16 vs. NYSC 2024-03-23,RCB,3/23/2024 12:00:00 AM,Round 0323,3/23/2024 12:00:00 AM,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,2,0,2,1,80,0,0,,100,100,0,0,0,0,0,0,0,0,0,0,,5,0,2,0,5,1,2,0,1,12,1,92.31,61.54,87.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,NYSC,1,,0,,0,,7,0
,,0,Sam Cunniffe,,45,Boston Bolts U16,Boston Bolts U16 vs. NYSC 2024-03-23,LCB,3/23/2024 12:00:00 AM,Round 0323,3/23/2024 12:00:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,4,4,0,60,0,0,,,,0,0,0,0,0,0,0,0,0,1,,11,0,3,0,13,9,3,1,0,27,9,75,69.44,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,NYSC,1,,0,,0,,2,0
,,0,Vasilian Mbrice,,45,Boston Bolts U16,Boston Bolts U16 vs. NYSC 2024-03-23,CM,3/23/2024 12:00:00 AM,Round 0323,3/23/2024 12:00:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1,0,87.5,0,0,,,,0,0,1,0,0,0,1,0,0,0,0,7,0,0,0,6,1,0,0,2,13,1,92.86,50,85.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,NYSC,1,,0,,0,,1,0
,,0,William Recupero,,45,Boston Bolts U16,Boston Bolts U16 vs. NYSC 2024-03-23,CM,3/23/2024 12:00:00 AM,Round 0323,3/23/2024 12:00:00 AM,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,66.67,0,0,,,,2,0,3,0,0,2,1,0,0,0,66.67,11,0,0,1,7,6,2,2,5,18,7,72,56,50,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,NYSC,1,,0,100,0,100,0,0
,,0,Casey Powers,,45,Boston Bolts U16,Boston Bolts U16 vs. NYSC 2024-03-23,GK,3/23/2024 12:00:00 AM,Round 0323,3/23/2024 12:00:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,100,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,1,4,8,1,1,1,0,9,5,64.29,100,64.29,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,1,100,1,NYSC,1,,0,,0,,0,7
