,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ReportWeekly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period Name,,Squad Number,Player Full Name,,mins played,Team Name,Match Name,Position Tag,As At Date,Round Name,Match Date,Yellow Card,Red Card,Goal,Assist,Dribble,Offside,Own Goal,Goal Against,Stand. Tackle,Unsucc Stand. Tackle,Tackle,Unsucc Tackle,Def Aerial,Unsucc Def Aerial,Clear,Headed Clear,Own Box Clear,Progr Rec,Unprogr Rec,Progr Inter,Unprogr Inter,Progr Regain ,Blocked Shot,Blocked Cross,Stand. Tackle Success ,Tackle Success ,Def Aerial Success ,Att 1v1,Att Aerial,Efforts on Goal,Header on Target,Header off Target,Shot on Target,Shot off Target,Att Shot Blockd,Cross,Unsucc Cross,Efficiency ,Side Back,Unsucc Side Back,Long,Unsucc Long,Forward,Unsucc Forward,Line Break,Pass into Oppo Box,Loss of Poss,Success,Unsuccess,Pass Completion ,Progr Pass Attempt ,Progr Pass Completion ,Foul Won,Foul Conceded,FK,Unsucc FK,Corner Kick,Short Corner,Unsucc Corner Kick,PK Won,PK Conceded,PK Scored,PK Missed,Throw,Unsucc Throw,Hands GK,Unsucc Hands,Ground GK,Unsucc Ground,Save Held,Save Parried,Save % ,Successful Cross,Opposition,Starts,
1st Half,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,Aaron Choi,,45,Boston Bolts U17,Boston Bolts U17 vs. Beachside U17 2023-11-11,GK,11/11/2023 12:00:00 AM,Round 1111,11/11/2023 12:00:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,100,0,0,,,,0,0,0,0,0,0,0,0,0,0,,5,0,3,4,21,2,4,1,0,29,6,82.86,85.71,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,100,0,Beachside U17,1,
,,0,Benjamin Wiseman,,45,Boston Bolts U17,Boston Bolts U17 vs. Beachside U17 2023-11-11,CM,11/11/2023 12:00:00 AM,Round 1111,11/11/2023 12:00:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,100,0,0,,,,0,0,0,0,0,0,0,0,0,0,,6,0,0,0,5,1,0,1,0,11,1,91.67,50,83.33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Beachside U17,1,
,,0,Eoghan Murphy,,45,Boston Bolts U17,Boston Bolts U17 vs. Beachside U17 2023-11-11,LW,11/11/2023 12:00:00 AM,Round 1111,11/11/2023 12:00:00 AM,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,50,0,0,,,,0,0,1,0,0,0,1,0,0,1,0,5,2,0,0,2,3,1,1,6,7,5,58.33,41.67,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Beachside U17,1,
,,0,George Nouaime,,45,Boston Bolts U17,Boston Bolts U17 vs. Beachside U17 2023-11-11,DM,11/11/2023 12:00:00 AM,Round 1111,11/11/2023 12:00:00 AM,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,5,1,0,1,71.43,0,0,,,100,0,0,0,0,0,0,0,0,0,0,,15,0,0,1,4,6,1,0,1,19,7,73.08,42.31,36.36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Beachside U17,1,
,,0,Giovanni Della Rocca,,45,Boston Bolts U17,Boston Bolts U17 vs. Beachside U17 2023-11-11,RB,11/11/2023 12:00:00 AM,Round 1111,11/11/2023 12:00:00 AM,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,6,5,2,0,61.54,0,0,,100,,0,0,0,0,0,0,0,0,0,0,,13,3,0,1,6,6,1,1,1,19,10,65.52,44.83,46.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Beachside U17,1,
,,0,Ian Hecker,,45,Boston Bolts U17,Boston Bolts U17 vs. Beachside U17 2023-11-11,CM,11/11/2023 12:00:00 AM,Round 1111,11/11/2023 12:00:00 AM,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,50,0,1,,,,0,0,2,0,0,0,1,1,0,0,0,8,0,0,0,6,9,3,1,4,14,9,60.87,65.22,40,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,Beachside U17,1,
,,0,James Hirsh,,45,Boston Bolts U17,Boston Bolts U17 vs. Beachside U17 2023-11-11,LCB,11/11/2023 12:00:00 AM,Round 1111,11/11/2023 12:00:00 AM,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4,0,0,0,100,2,0,,0,0,0,1,1,0,1,0,0,0,0,0,0,13,0,2,2,15,2,4,0,0,30,4,88.24,61.76,80.95,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Beachside U17,1,
,,0,Maxim Makar,,45,Boston Bolts U17,Boston Bolts U17 vs. Beachside U17 2023-11-11,RCB,11/11/2023 12:00:00 AM,Round 1111,11/11/2023 12:00:00 AM,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,7,0,1,2,80,1,0,100,,,0,0,0,0,0,0,0,0,0,0,,16,0,1,3,15,1,5,0,1,32,4,88.89,55.56,80,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Beachside U17,1,
,,0,Miguel Pereira,,45,Boston Bolts U17,Boston Bolts U17 vs. Beachside U17 2023-11-11,ATT,11/11/2023 12:00:00 AM,Round 1111,11/11/2023 12:00:00 AM,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,100,0,0,,,,0,0,2,0,0,1,0,1,0,0,50,4,1,0,0,2,2,0,1,2,6,3,66.67,44.44,50,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Beachside U17,1,
,,0,Owen Zhang,,45,Boston Bolts U17,Boston Bolts U17 vs. Beachside U17 2023-11-11,LB,11/11/2023 12:00:00 AM,Round 1111,11/11/2023 12:00:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,42.86,0,1,,,,0,0,0,0,0,0,0,0,0,0,,12,0,1,1,13,3,3,0,2,26,4,86.67,60,77.78,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Beachside U17,1,
,,0,Sebastian Snibbe,,45,Boston Bolts U17,Boston Bolts U17 vs. Beachside U17 2023-11-11,RW,11/11/2023 12:00:00 AM,Round 1111,11/11/2023 12:00:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,0,0,100,0,0,,,,0,0,1,0,0,0,0,1,0,0,0,7,0,0,0,2,1,0,0,0,9,1,90,30,66.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Beachside U17,1,
2nd Half,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
