,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ReportWeekly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period Name,,Squad Number,Player Full Name,,mins played,Team Name,Match Name,Position Tag,As At Date,Round Name,Match Date,Yellow Card,Red Card,Goal,Assist,Dribble,Offside,Own Goal,Goal Against,Stand. Tackle,Unsucc Stand. Tackle,Tackle,Unsucc Tackle,Def Aerial,Unsucc Def Aerial,Clear,Headed Clear,Own Box Clear,Progr Rec,Unprogr Rec,Progr Inter,Unprogr Inter,Progr Regain ,Blocked Shot,Blocked Cross,Stand. Tackle Success ,Tackle Success ,Def Aerial Success ,Att 1v1,Att Aerial,Efforts on Goal,Header on Target,Header off Target,Shot on Target,Shot off Target,Att Shot Blockd,Cross,Unsucc Cross,Efficiency ,Side Back,Unsucc Side Back,Long,Unsucc Long,Forward,Unsucc Forward,Line Break,Pass into Oppo Box,Loss of Poss,Success,Unsuccess,Pass Completion ,Progr Pass Attempt ,Progr Pass Completion ,Foul Won,Foul Conceded,FK,Unsucc FK,Corner Kick,Short Corner,Unsucc Corner Kick,PK Won,PK Conceded,PK Scored,PK Missed,Throw,Unsucc Throw,Hands GK,Unsucc Hands,Ground GK,Unsucc Ground,Save Held,Save Parried,Save % ,Successful Cross,Opposition,Starts,,Unsucc Att 1v1,Att 1v1 Success % ,Unsucc Dribble,Dribble Success % ,Throw in,Opp Effort on Goal
1st Half,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,Aaron Choi,,45,Boston Bolts U17,Rochester vs. Boston Bolts U17 2024-05-19,GK,5/19/2024 12:00:00 AM,Round 0519,5/19/2024 12:00:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,100,0,0,,,,0,0,0,0,0,0,0,0,0,0,,3,0,0,1,36,0,1,0,0,39,1,97.5,92.5,97.3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,,0,Rochester,1,,0,,0,,0,1
,,0,Benjamin Wiseman,,45,Boston Bolts U17,Rochester vs. Boston Bolts U17 2024-05-19,CM,5/19/2024 12:00:00 AM,Round 0519,5/19/2024 12:00:00 AM,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,9,1,0,1,81.82,0,0,100,,,0,0,1,0,0,0,0,1,0,1,0,7,0,0,0,7,3,0,0,2,14,3,82.35,58.82,70,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Rochester,1,,0,,0,,0,0
,,0,Eoghan Murphy,,45,Boston Bolts U17,Rochester vs. Boston Bolts U17 2024-05-19,AM,5/19/2024 12:00:00 AM,Round 0519,5/19/2024 12:00:00 AM,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,100,0,0,,,,1,0,1,0,0,0,1,0,1,2,0,3,0,0,0,5,0,0,0,5,8,0,100,62.5,100,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,,0,Rochester,1,,0,100,0,100,0,0
,,0,Giovanni Della Rocca,,45,Boston Bolts U17,Rochester vs. Boston Bolts U17 2024-05-19,RB,5/19/2024 12:00:00 AM,Round 0519,5/19/2024 12:00:00 AM,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4,0,1,0,100,0,0,100,,,0,0,0,0,0,0,0,0,1,3,,9,1,0,0,5,1,1,0,3,14,2,87.5,37.5,83.33,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Rochester,1,,0,,0,100,8,0
,,0,Ian Hecker,,45,Boston Bolts U17,Rochester vs. Boston Bolts U17 2024-05-19,CM,5/19/2024 12:00:00 AM,Round 0519,5/19/2024 12:00:00 AM,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,6,2,5,0,84.62,0,0,50,,,0,1,5,0,0,3,1,1,0,2,60,15,1,0,4,16,5,4,1,3,31,10,75.61,60.98,64,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,Rochester,1,,0,,0,100,2,0
,,0,James Hirsh,,45,Boston Bolts U17,Rochester vs. Boston Bolts U17 2024-05-19,LCB,5/19/2024 12:00:00 AM,Round 0519,5/19/2024 12:00:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,1,9,2,0,0,81.82,0,0,,,100,0,0,0,0,0,0,0,0,0,0,,25,0,1,3,24,3,4,0,0,50,6,89.29,55.36,80.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Rochester,1,,0,,0,,0,0
,,0,Mason Taylor,,45,Boston Bolts U17,Rochester vs. Boston Bolts U17 2024-05-19,ATT,5/19/2024 12:00:00 AM,Round 0519,5/19/2024 12:00:00 AM,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,100,0,0,,,,1,0,1,0,1,0,0,0,0,1,0,6,1,0,0,4,1,0,1,0,10,2,83.33,41.67,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Rochester,1,,0,100,0,100,2,0
,,0,Nicholas Mesquita,,45,Boston Bolts U17,Rochester vs. Boston Bolts U17 2024-05-19,CM,5/19/2024 12:00:00 AM,Round 0519,5/19/2024 12:00:00 AM,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,100,0,0,,,,1,0,1,0,0,1,0,0,0,0,100,4,0,0,0,5,3,1,1,2,9,3,75,66.67,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Rochester,1,,0,100,0,100,0,0
,,0,Owen Zhang,,45,Boston Bolts U17,Rochester vs. Boston Bolts U17 2024-05-19,LB,5/19/2024 12:00:00 AM,Round 0519,5/19/2024 12:00:00 AM,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,3,0,0,0,100,0,0,100,,,0,0,1,0,0,1,0,0,0,3,100,7,0,1,1,16,2,4,3,0,24,3,88.89,74.07,85,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Rochester,1,,0,,0,,9,0
,,0,Sebastian Snibbe,,45,Boston Bolts U17,Rochester vs. Boston Bolts U17 2024-05-19,ATT,5/19/2024 12:00:00 AM,Round 0519,5/19/2024 12:00:00 AM,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,50,0,0,,,,1,1,1,0,0,1,0,0,1,0,100,3,0,0,0,3,1,0,1,1,6,1,85.71,57.14,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Rochester,1,,0,100,0,100,0,0
,,0,Mason Comesu,,45,Boston Bolts U17,Rochester vs. Boston Bolts U17 2024-05-19,RCB,5/19/2024 12:00:00 AM,Round 0519,5/19/2024 12:00:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,1,0,0,75,1,0,,,100,0,0,0,0,0,0,0,0,0,1,,26,0,0,1,11,7,2,0,0,37,8,82.22,42.22,57.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Rochester,1,,0,,0,,0,0
2nd Half,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,Aaron Choi,,45,Boston Bolts U17,Rochester vs. Boston Bolts U17 2024-05-19,GK,5/19/2024 12:00:00 AM,Round 0519,5/19/2024 12:00:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,5,1,0,0,83.33,0,0,,,,0,0,0,0,0,0,0,0,0,0,,3,0,0,1,23,1,1,0,0,26,2,92.86,89.29,92,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,1,0,100,1,Rochester,0,,0,,0,,0,2
,,0,Benjamin Wiseman,,10,Boston Bolts U17,Rochester vs. Boston Bolts U17 2024-05-19,CM,5/19/2024 12:00:00 AM,Round 0519,5/19/2024 12:00:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,100,0,0,,,,0,0,1,0,0,0,1,0,0,0,0,2,0,0,1,2,0,0,0,0,4,1,80,60,66.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Rochester,0,,0,,0,,0,0
,,0,Benjamin Wiseman,,35,Boston Bolts U17,Rochester vs. Boston Bolts U17 2024-05-19,RB,5/19/2024 12:00:00 AM,Round 0519,5/19/2024 12:00:00 AM,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,1,3,2,1,1,57.14,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,13,1,1,2,7,3,2,0,2,21,6,77.78,48.15,61.54,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Rochester,0,,0,,0,,6,0
,,0,Eoghan Murphy,,9,Boston Bolts U17,Rochester vs. Boston Bolts U17 2024-05-19,AM,5/19/2024 12:00:00 AM,Round 0519,5/19/2024 12:00:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,1,1,0,1,0,2,1,66.67,66.67,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Rochester,0,,0,,0,,0,0
