,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ReportWeekly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period Name,,Squad Number,Player Full Name,,mins played,Team Name,Match Name,Position Tag,As At Date,Round Name,Match Date,Yellow Card,Red Card,Goal,Assist,Dribble,Offside,Own Goal,Goal Against,Stand. Tackle,Unsucc Stand. Tackle,Tackle,Unsucc Tackle,Def Aerial,Unsucc Def Aerial,Clear,Headed Clear,Own Box Clear,Progr Rec,Unprogr Rec,Progr Inter,Unprogr Inter,Progr Regain ,Blocked Shot,Blocked Cross,Stand. Tackle Success ,Tackle Success ,Def Aerial Success ,Att 1v1,Att Aerial,Efforts on Goal,Header on Target,Header off Target,Shot on Target,Shot off Target,Att Shot Blockd,Cross,Unsucc Cross,Efficiency ,Side Back,Unsucc Side Back,Long,Unsucc Long,Forward,Unsucc Forward,Line Break,Pass into Oppo Box,Loss of Poss,Success,Unsuccess,Pass Completion ,Progr Pass Attempt ,Progr Pass Completion ,Foul Won,Foul Conceded,FK,Unsucc FK,Corner Kick,Short Corner,Unsucc Corner Kick,PK Won,PK Conceded,PK Scored,PK Missed,Throw,Unsucc Throw,Hands GK,Unsucc Hands,Ground GK,Unsucc Ground,Save Held,Save Parried,Save % ,Successful Cross,Opposition,Starts,,Unsucc Att 1v1,Att 1v1 Success % ,Unsucc Dribble,Dribble Success % ,Throw in,Opp Effort on Goal,Chance Created,Unsucc cross GK,Throw in against
1st Half,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,Jake Ciavarro,,45,Boston Bolts U17 MLS Next,Met Oval vs. Boston Bolts U17 MLS Next 2024-11-02,CM,11/2/2024 12:00:00 AM,Round 1102,11/2/2024 12:00:00 AM,0,0,0,1,2,0,0,0,1,0,0,2,0,0,2,0,0,4,1,5,9,47.37,0,0,100,0,,0,0,0,0,0,0,0,0,0,0,,9,0,0,1,10,3,5,1,2,19,4,82.61,60.87,71.43,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Met Oval,1,,0,,1,66.67,0,0,3,0,0
,,15,Jonah Greenblatt,,45,Boston Bolts U17 MLS Next,Met Oval vs. Boston Bolts U17 MLS Next 2024-11-02,LB,11/2/2024 12:00:00 AM,Round 1102,11/2/2024 12:00:00 AM,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,2,3,1,6,1,81.82,0,0,50,100,,0,0,1,0,0,0,1,0,0,0,0,9,0,0,1,4,2,0,0,1,13,3,81.25,43.75,57.14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Met Oval,1,,0,,0,100,4,0,1,0,0
,,25,Kaio Morais,,45,Boston Bolts U17 MLS Next,Met Oval vs. Boston Bolts U17 MLS Next 2024-11-02,RW,11/2/2024 12:00:00 AM,Round 1102,11/2/2024 12:00:00 AM,0,0,0,0,2,0,0,0,0,1,1,1,0,0,2,0,0,0,2,4,3,44.44,0,0,0,50,,0,0,2,0,0,0,2,0,0,2,0,4,1,0,0,0,1,0,0,5,4,2,66.67,16.67,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Met Oval,1,,0,,1,66.67,0,0,1,0,0
,,18,Killian Walsh,,45,Boston Bolts U17 MLS Next,Met Oval vs. Boston Bolts U17 MLS Next 2024-11-02,ATT,11/2/2024 12:00:00 AM,Round 1102,11/2/2024 12:00:00 AM,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,66.67,0,0,0,,,0,0,2,0,0,0,0,2,0,0,0,4,0,0,0,1,2,0,0,5,5,2,71.43,42.86,33.33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Met Oval,1,,0,,0,,0,0,1,0,0
,,6,Marcus Cooper,,45,Boston Bolts U17 MLS Next,Met Oval vs. Boston Bolts U17 MLS Next 2024-11-02,RCB,11/2/2024 12:00:00 AM,Round 1102,11/2/2024 12:00:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,3,0,0,2,2,4,0,1,0,5,6,45.45,72.73,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Met Oval,1,,0,,0,,0,0,0,0,0
,,5,Sam Cunniffe,,45,Boston Bolts U17 MLS Next,Met Oval vs. Boston Bolts U17 MLS Next 2024-11-02,LCB,11/2/2024 12:00:00 AM,Round 1102,11/2/2024 12:00:00 AM,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,2,3,2,7,0,83.33,1,0,100,,0,0,0,0,0,0,0,0,0,0,0,,5,0,1,6,9,4,1,1,0,15,10,60,80,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Met Oval,1,,0,,0,,0,0,0,0,0
,,21,Vasilian Mbrice,,45,Boston Bolts U17 MLS Next,Met Oval vs. Boston Bolts U17 MLS Next 2024-11-02,CM,11/2/2024 12:00:00 AM,Round 1102,11/2/2024 12:00:00 AM,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,5,0,7,2,85.71,0,0,,,,1,0,0,0,0,0,0,0,1,0,,2,0,0,0,10,4,2,2,1,12,4,75,87.5,71.43,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Met Oval,1,,0,100,0,100,0,0,2,0,0
,,13,Casey Powers,,45,Boston Bolts U17 MLS Next,Met Oval vs. Boston Bolts U17 MLS Next 2024-11-02,GK,11/2/2024 12:00:00 AM,Round 1102,11/2/2024 12:00:00 AM,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,2,0,100,0,0,,100,,0,0,0,0,0,0,0,0,0,0,,0,0,2,3,1,0,2,0,0,3,3,50,100,50,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,4,0,1,2,100,0,Met Oval,1,,0,,0,,0,7,1,0,13
,,7,Logan Moniz,,45,Boston Bolts U17 MLS Next,Met Oval vs. Boston Bolts U17 MLS Next 2024-11-02,AM,11/2/2024 12:00:00 AM,Round 1102,11/2/2024 12:00:00 AM,0,0,1,0,7,0,0,0,0,1,1,1,0,0,0,0,0,3,1,6,5,60,0,0,0,50,,1,0,7,0,0,6,1,0,0,0,85.71,6,0,0,1,6,3,1,1,5,12,4,75,62.5,60,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,Met Oval,1,,0,100,0,100,0,0,2,0,0
