,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ReportWeekly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period Name,,Squad Number,Player Full Name,,mins played,Team Name,Match Name,Position Tag,As At Date,Round Name,Match Date,Yellow Card,Red Card,Goal,Assist,Dribble,Offside,Own Goal,Goal Against,Stand. Tackle,Unsucc Stand. Tackle,Tackle,Unsucc Tackle,Def Aerial,Unsucc Def Aerial,Clear,Headed Clear,Own Box Clear,Progr Rec,Unprogr Rec,Progr Inter,Unprogr Inter,Progr Regain ,Blocked Shot,Blocked Cross,Stand. Tackle Success ,Tackle Success ,Def Aerial Success ,Att 1v1,Att Aerial,Efforts on Goal,Header on Target,Header off Target,Shot on Target,Shot off Target,Att Shot Blockd,Cross,Unsucc Cross,Efficiency ,Side Back,Unsucc Side Back,Long,Unsucc Long,Forward,Unsucc Forward,Line Break,Pass into Oppo Box,Loss of Poss,Success,Unsuccess,Pass Completion ,Progr Pass Attempt ,Progr Pass Completion ,Foul Won,Foul Conceded,FK,Unsucc FK,Corner Kick,Short Corner,Unsucc Corner Kick,PK Won,PK Conceded,PK Scored,PK Missed,Throw,Unsucc Throw,Hands GK,Unsucc Hands,Ground GK,Unsucc Ground,Save Held,Save Parried,Save % ,Successful Cross,Opposition,Starts,,Unsucc Att 1v1,Att 1v1 Success % ,Unsucc Dribble,Dribble Success % ,Throw in,Opp Effort on Goal,Chance Created,Unsucc cross GK,Throw in against
1st Half,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12,Brendan Furlonge,,45,Boston Bolts U17 MLS Next,Boston Bolts U17 MLS Next vs. NEFC 2024-09-14,RB,9/14/2024 12:00:00 AM,Round 0914,9/14/2024 12:00:00 AM,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,100,1,0,,,,2,0,1,0,0,0,0,1,1,1,0,2,0,0,0,6,3,3,0,0,8,3,72.73,81.82,66.67,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,NEFC,1,,0,100,0,100,7,0,0,0,0
,,9,Finn van Clief,,45,Boston Bolts U17 MLS Next,Boston Bolts U17 MLS Next vs. NEFC 2024-09-14,ATT,9/14/2024 12:00:00 AM,Round 0914,9/14/2024 12:00:00 AM,0,0,1,0,3,0,0,0,2,0,0,0,1,0,1,0,0,1,0,2,1,75,0,0,100,,100,1,0,1,0,0,1,0,0,0,0,100,7,1,0,0,2,0,1,0,7,9,1,90,20,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,NEFC,1,,0,100,0,100,0,0,0,0,0
,,4,Jake Ciavarro,,32,Boston Bolts U17 MLS Next,Boston Bolts U17 MLS Next vs. NEFC 2024-09-14,DM,9/14/2024 12:00:00 AM,Round 0914,9/14/2024 12:00:00 AM,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,1,1,4,2,1,1,62.5,0,0,100,,,1,0,0,0,0,0,0,0,0,0,,4,0,0,0,9,0,0,0,7,13,0,100,69.23,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,NEFC,1,,0,100,0,100,0,0,0,0,0
,,15,Jonah Greenblatt,,45,Boston Bolts U17 MLS Next,Boston Bolts U17 MLS Next vs. NEFC 2024-09-14,LB,9/14/2024 12:00:00 AM,Round 0914,9/14/2024 12:00:00 AM,0,0,0,1,1,0,0,0,0,0,0,0,3,1,1,0,0,2,0,3,0,100,0,0,,,75,0,0,0,0,0,0,0,0,0,0,,15,0,0,0,6,0,1,1,1,21,0,100,28.57,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,NEFC,1,,0,,0,100,8,0,2,0,0
,,25,Kaio Morais,,45,Boston Bolts U17 MLS Next,Boston Bolts U17 MLS Next vs. NEFC 2024-09-14,RW,9/14/2024 12:00:00 AM,Round 0914,9/14/2024 12:00:00 AM,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,2,0,1,0,100,0,0,0,,,3,0,1,0,0,0,0,1,1,0,0,4,1,0,0,2,1,0,0,1,6,2,75,37.5,66.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,NEFC,1,,0,100,0,100,1,0,0,0,0
,,18,Killian Walsh,,45,Boston Bolts U17 MLS Next,Boston Bolts U17 MLS Next vs. NEFC 2024-09-14,LW,9/14/2024 12:00:00 AM,Round 0914,9/14/2024 12:00:00 AM,0,0,0,0,3,0,0,0,2,0,0,0,0,0,1,0,0,2,0,1,1,75,0,0,100,,,2,0,1,0,0,0,1,0,0,0,0,7,0,0,0,2,1,0,0,3,9,1,90,30,66.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,NEFC,1,,0,100,0,100,2,0,0,0,0
,,6,Marcus Cooper,,45,Boston Bolts U17 MLS Next,Boston Bolts U17 MLS Next vs. NEFC 2024-09-14,CB,9/14/2024 12:00:00 AM,Round 0914,9/14/2024 12:00:00 AM,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,2,1,0,4,2,71.43,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,6,0,0,0,10,4,1,0,0,16,4,80,70,71.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,NEFC,1,,0,,0,100,0,0,0,0,0
,,5,Sam Cunniffe,,45,Boston Bolts U17 MLS Next,Boston Bolts U17 MLS Next vs. NEFC 2024-09-14,CB,9/14/2024 12:00:00 AM,Round 0914,9/14/2024 12:00:00 AM,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,2,1,2,0,80,0,0,100,,,0,0,0,0,0,0,0,0,0,0,,11,0,1,7,17,5,11,0,0,29,12,70.73,73.17,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,NEFC,1,,0,,0,,0,0,0,0,0
,,21,Vasilian Mbrice,,45,Boston Bolts U17 MLS Next,Boston Bolts U17 MLS Next vs. NEFC 2024-09-14,RM,9/14/2024 12:00:00 AM,Round 0914,9/14/2024 12:00:00 AM,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,2,0,100,0,0,50,,0,0,0,0,0,0,0,0,0,0,1,,2,0,0,0,4,1,0,0,5,6,1,85.71,71.43,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,NEFC,1,,0,,0,,0,0,1,0,0
,,13,Casey Powers,,45,Boston Bolts U17 MLS Next,Boston Bolts U17 MLS Next vs. NEFC 2024-09-14,GK,9/14/2024 12:00:00 AM,Round 0914,9/14/2024 12:00:00 AM,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,0,0,,4,0,0,1,13,1,1,0,0,17,2,89.47,78.95,86.67,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,3,0,1,0,25,1,NEFC,1,,0,,0,,0,6,0,0,0
,,7,Logan Moniz,,45,Boston Bolts U17 MLS Next,Boston Bolts U17 MLS Next vs. NEFC 2024-09-14,LM,9/14/2024 12:00:00 AM,Round 0914,9/14/2024 12:00:00 AM,0,0,0,0,2,0,0,0,3,0,1,2,0,0,0,0,0,3,1,1,0,80,1,0,100,33.33,,1,0,0,0,0,0,0,0,1,0,,8,0,0,2,7,2,2,0,3,15,4,78.95,57.89,63.64,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,NEFC,1,,0,100,0,100,0,0,0,0,0
,,14,Asher Herrmann,,13,Boston Bolts U17 MLS Next,Boston Bolts U17 MLS Next vs. NEFC 2024-09-14,DM,9/14/2024 12:00:00 AM,Round 0914,9/14/2024 12:00:00 AM,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,50,0,0,100,,,1,0,0,0,0,0,0,0,0,0,,3,0,0,0,1,4,2,0,0,4,4,50,62.5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,NEFC,0,,0,100,0,100,0,0,0,0,0
2nd Half,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12,Brendan Furlonge,,45,Boston Bolts U17 MLS Next,Boston Bolts U17 MLS Next vs. NEFC 2024-09-14,RW,9/14/2024 12:00:00 AM,Round 0914,9/14/2024 12:00:00 AM,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,2,33.33,0,0,100,,,2,0,1,0,0,0,0,1,0,0,0,4,0,0,0,5,3,0,0,1,9,3,75,66.67,62.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,NEFC,0,,0,100,0,100,1,0,0,0,0
