,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ReportWeekly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period Name,,Squad Number,Player Full Name,,mins played,Team Name,Match Name,Position Tag,As At Date,Round Name,Match Date,Yellow Card,Red Card,Goal,Assist,Dribble,Offside,Own Goal,Goal Against,Stand. Tackle,Unsucc Stand. Tackle,Tackle,Unsucc Tackle,Def Aerial,Unsucc Def Aerial,Clear,Headed Clear,Own Box Clear,Progr Rec,Unprogr Rec,Progr Inter,Unprogr Inter,Progr Regain ,Blocked Shot,Blocked Cross,Stand. Tackle Success ,Tackle Success ,Def Aerial Success ,Att 1v1,Att Aerial,Efforts on Goal,Header on Target,Header off Target,Shot on Target,Shot off Target,Att Shot Blockd,Cross,Unsucc Cross,Efficiency ,Side Back,Unsucc Side Back,Long,Unsucc Long,Forward,Unsucc Forward,Line Break,Pass into Oppo Box,Loss of Poss,Success,Unsuccess,Pass Completion ,Progr Pass Attempt ,Progr Pass Completion ,Foul Won,Foul Conceded,FK,Unsucc FK,Corner Kick,Short Corner,Unsucc Corner Kick,PK Won,PK Conceded,PK Scored,PK Missed,Throw,Unsucc Throw,Hands GK,Unsucc Hands,Ground GK,Unsucc Ground,Save Held,Save Parried,Save % ,Successful Cross,Opposition,Starts,,Unsucc Att 1v1,Att 1v1 Success % ,Unsucc Dribble,Dribble Success % ,Throw in,Opp Effort on Goal,Chance Created,Unsucc cross GK,Throw in against
1st Half,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12,Brendan Furlonge,,45,Boston Bolts U17 MLS Next,Rochester vs. Boston Bolts U17 MLS Next 2025-03-30,RB,3/30/2025 12:00:00 AM,Round 0330,3/30/2025 12:00:00 AM,0,0,0,0,6,0,0,0,2,2,0,0,0,0,1,0,0,3,2,4,2,63.64,0,0,50,,,2,0,0,0,0,0,0,0,1,1,,4,0,0,0,8,1,1,0,5,12,1,92.31,69.23,88.89,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Rochester,1,,0,100,0,100,6,0,2,0,0
,,16,Devin Smith,,45,Boston Bolts U17 MLS Next,Rochester vs. Boston Bolts U17 MLS Next 2025-03-30,LB,3/30/2025 12:00:00 AM,Round 0330,3/30/2025 12:00:00 AM,0,0,0,0,3,0,0,0,0,0,1,0,0,0,3,0,0,0,3,3,1,42.86,0,0,,100,,1,0,0,0,0,0,0,0,1,1,,10,1,0,0,4,2,0,0,3,14,3,82.35,35.29,66.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Rochester,1,,0,100,1,75,3,0,1,0,0
,,4,Jake Ciavarro,,45,Boston Bolts U17 MLS Next,Rochester vs. Boston Bolts U17 MLS Next 2025-03-30,LCB,3/30/2025 12:00:00 AM,Round 0330,3/30/2025 12:00:00 AM,0,0,0,1,1,0,0,0,2,1,0,0,0,0,0,0,1,4,2,1,0,71.43,0,0,66.67,,,0,0,0,0,0,0,0,0,0,0,,13,0,2,1,7,2,2,2,1,22,3,88,48,75,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Rochester,1,,0,,0,100,0,0,1,0,0
,,15,Jonah Greenblatt,,45,Boston Bolts U17 MLS Next,Rochester vs. Boston Bolts U17 MLS Next 2025-03-30,RW,3/30/2025 12:00:00 AM,Round 0330,3/30/2025 12:00:00 AM,0,0,2,0,3,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,50,0,0,100,,,0,1,5,1,0,1,3,0,0,0,40,7,0,0,0,2,1,0,0,4,9,1,90,30,66.67,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Rochester,1,,0,,0,100,0,0,2,0,0
,,18,Killian Walsh,,45,Boston Bolts U17 MLS Next,Rochester vs. Boston Bolts U17 MLS Next 2025-03-30,ATT,3/30/2025 12:00:00 AM,Round 0330,3/30/2025 12:00:00 AM,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,100,0,0,100,,,0,1,1,0,0,0,0,1,1,1,0,5,1,0,0,0,1,0,1,2,5,2,71.43,14.29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Rochester,1,,0,,0,100,0,0,0,0,0
,,5,Sam Cunniffe,,45,Boston Bolts U17 MLS Next,Rochester vs. Boston Bolts U17 MLS Next 2025-03-30,RCB,3/30/2025 12:00:00 AM,Round 0330,3/30/2025 12:00:00 AM,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,83.33,0,0,,,,1,0,0,0,0,0,0,0,1,1,,9,1,10,4,14,4,9,0,0,33,9,78.57,76.19,75,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Rochester,1,,0,100,0,100,0,0,0,0,0
,,21,Vasilian Mbrice,,45,Boston Bolts U17 MLS Next,Rochester vs. Boston Bolts U17 MLS Next 2025-03-30,CM,3/30/2025 12:00:00 AM,Round 0330,3/30/2025 12:00:00 AM,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4,2,1,0,71.43,0,0,100,,,1,0,1,0,0,0,1,0,0,0,0,9,2,1,0,7,0,1,1,6,17,2,89.47,42.11,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Rochester,1,,0,100,0,100,0,0,1,0,0
,,13,Casey Powers,,45,Boston Bolts U17 MLS Next,Rochester vs. Boston Bolts U17 MLS Next 2025-03-30,GK,3/30/2025 12:00:00 AM,Round 0330,3/30/2025 12:00:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,100,0,0,,,,0,0,0,0,0,0,0,0,0,0,,4,0,3,4,4,1,2,1,0,11,5,68.75,75,58.33,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,3,1,100,1,Rochester,1,,0,,0,,0,6,0,0,13
,,8,Karim Eljamal,,45,Boston Bolts U17 MLS Next,Rochester vs. Boston Bolts U17 MLS Next 2025-03-30,CM,3/30/2025 12:00:00 AM,Round 0330,3/30/2025 12:00:00 AM,0,0,0,0,5,0,0,0,4,0,0,0,1,0,1,0,0,4,2,0,1,57.14,0,0,100,,100,1,0,1,0,1,0,0,0,1,0,0,12,0,0,0,8,5,2,1,3,20,5,80,52,61.54,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,0,Rochester,1,,0,100,0,100,0,0,1,0,0
