,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ReportWeekly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period Name,,Squad Number,Player Full Name,,mins played,Team Name,Match Name,Position Tag,As At Date,Round Name,Match Date,Yellow Card,Red Card,Goal,Assist,Dribble,Offside,Own Goal,Goal Against,Stand. Tackle,Unsucc Stand. Tackle,Tackle,Unsucc Tackle,Def Aerial,Unsucc Def Aerial,Clear,Headed Clear,Own Box Clear,Progr Rec,Unprogr Rec,Progr Inter,Unprogr Inter,Progr Regain ,Blocked Shot,Blocked Cross,Stand. Tackle Success ,Tackle Success ,Def Aerial Success ,Att 1v1,Att Aerial,Efforts on Goal,Header on Target,Header off Target,Shot on Target,Shot off Target,Att Shot Blockd,Cross,Unsucc Cross,Efficiency ,Side Back,Unsucc Side Back,Long,Unsucc Long,Forward,Unsucc Forward,Line Break,Pass into Oppo Box,Loss of Poss,Success,Unsuccess,Pass Completion ,Progr Pass Attempt ,Progr Pass Completion ,Foul Won,Foul Conceded,FK,Unsucc FK,Corner Kick,Short Corner,Unsucc Corner Kick,PK Won,PK Conceded,PK Scored,PK Missed,Throw,Unsucc Throw,Hands GK,Unsucc Hands,Ground GK,Unsucc Ground,Save Held,Save Parried,Save % ,Successful Cross,Opposition,Starts,,Unsucc Att 1v1,Att 1v1 Success % ,Unsucc Dribble,Dribble Success % ,Throw in,Opp Effort on Goal
1st Half,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,Ethan Pham,,45,Boston Bolts U16,Seacoast vs. Boston Bolts U16 2024-04-28,RB,4/28/2024 12:00:00 AM,Round 0428,4/28/2024 12:00:00 AM,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,3,0,2,2,71.43,0,0,,100,,0,0,0,0,0,0,0,0,0,0,,5,0,0,1,5,1,2,1,1,10,2,83.33,58.33,71.43,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Seacoast,1,,0,,0,,10,0
,,0,Finn van Clief,,45,Boston Bolts U16,Seacoast vs. Boston Bolts U16 2024-04-28,ATT,4/28/2024 12:00:00 AM,Round 0428,4/28/2024 12:00:00 AM,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,100,0,0,100,,,0,0,2,0,0,0,1,1,0,0,0,4,0,0,0,4,1,0,0,2,8,1,88.89,55.56,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Seacoast,1,,0,,0,100,0,0
,,0,Jake Ciavarro,,45,Boston Bolts U16,Seacoast vs. Boston Bolts U16 2024-04-28,LCB,4/28/2024 12:00:00 AM,Round 0428,4/28/2024 12:00:00 AM,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1,0,4,1,3,2,70,0,1,,0,100,0,0,0,0,0,0,0,0,0,0,,11,0,0,0,17,3,0,0,0,28,3,90.32,64.52,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Seacoast,1,,0,,0,,0,0
,,0,Jonah Greenblatt,,45,Boston Bolts U16,Seacoast vs. Boston Bolts U16 2024-04-28,LB,4/28/2024 12:00:00 AM,Round 0428,4/28/2024 12:00:00 AM,0,0,0,0,2,1,0,0,2,0,0,0,0,0,0,0,1,3,1,0,0,75,0,0,100,,,1,0,0,0,0,0,0,0,0,0,,15,0,0,0,7,3,0,1,2,22,3,88,40,70,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Seacoast,1,,0,100,0,100,8,0
,,0,Kaio Morias,,45,Boston Bolts U16,Seacoast vs. Boston Bolts U16 2024-04-28,RW,4/28/2024 12:00:00 AM,Round 0428,4/28/2024 12:00:00 AM,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,60,0,0,,,,2,0,0,0,0,0,0,0,0,1,,6,1,0,0,5,4,0,0,2,11,5,68.75,56.25,55.56,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Seacoast,1,,0,100,0,100,0,0
,,0,Marcus Cooper,,45,Boston Bolts U16,Seacoast vs. Boston Bolts U16 2024-04-28,RCB,4/28/2024 12:00:00 AM,Round 0428,4/28/2024 12:00:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,2,1,1,2,2,50,0,0,,,100,0,0,0,0,0,0,0,0,0,0,,10,0,0,0,7,1,1,0,0,17,1,94.44,44.44,87.5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Seacoast,1,,0,,0,,0,0
,,0,Vasilian Mbrice,,45,Boston Bolts U16,Seacoast vs. Boston Bolts U16 2024-04-28,LW,4/28/2024 12:00:00 AM,Round 0428,4/28/2024 12:00:00 AM,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,66.67,0,0,,,,0,0,0,0,0,0,0,0,0,0,,9,0,0,0,2,2,0,1,2,11,2,84.62,30.77,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Seacoast,1,,0,,0,100,0,0
,,0,William Recupero,,45,Boston Bolts U16,Seacoast vs. Boston Bolts U16 2024-04-28,CM,4/28/2024 12:00:00 AM,Round 0428,4/28/2024 12:00:00 AM,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,80,0,0,,,,2,0,2,0,0,1,0,1,0,1,50,12,0,0,0,13,6,1,2,2,25,6,80.65,61.29,68.42,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Seacoast,1,,0,100,0,100,0,0
,,0,Landon van Buren,,45,Boston Bolts U16,Seacoast vs. Boston Bolts U16 2024-04-28,CM,4/28/2024 12:00:00 AM,Round 0428,4/28/2024 12:00:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,1,0,0,80,0,0,,,,0,0,1,0,0,0,1,0,0,0,0,8,0,0,0,12,2,2,0,2,20,2,90.91,63.64,85.71,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Seacoast,1,,0,,0,,0,0
