,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ReportWeekly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period Name,,Squad Number,Player Full Name,,mins played,Team Name,Match Name,Position Tag,As At Date,Round Name,Match Date,Yellow Card,Red Card,Goal,Assist,Dribble,Offside,Own Goal,Goal Against,Stand. Tackle,Unsucc Stand. Tackle,Tackle,Unsucc Tackle,Def Aerial,Unsucc Def Aerial,Clear,Headed Clear,Own Box Clear,Progr Rec,Unprogr Rec,Progr Inter,Unprogr Inter,Progr Regain ,Blocked Shot,Blocked Cross,Stand. Tackle Success ,Tackle Success ,Def Aerial Success ,Att 1v1,Att Aerial,Efforts on Goal,Header on Target,Header off Target,Shot on Target,Shot off Target,Att Shot Blockd,Cross,Unsucc Cross,Efficiency ,Side Back,Unsucc Side Back,Long,Unsucc Long,Forward,Unsucc Forward,Line Break,Pass into Oppo Box,Loss of Poss,Success,Unsuccess,Pass Completion ,Progr Pass Attempt ,Progr Pass Completion ,Foul Won,Foul Conceded,FK,Unsucc FK,Corner Kick,Short Corner,Unsucc Corner Kick,PK Won,PK Conceded,PK Scored,PK Missed,Throw,Unsucc Throw,Hands GK,Unsucc Hands,Ground GK,Unsucc Ground,Save Held,Save Parried,Save % ,Successful Cross,Opposition,Starts,,Unsucc Att 1v1,Att 1v1 Success % ,Unsucc Dribble,Dribble Success % ,Throw in,Opp Effort on Goal,Chance Created,Unsucc cross GK,Throw in against
1st Half,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,19,Adlani Rodriguez,,45,Boston Bolts U16 MLS Next,Boston Bolts U16 MLS Next vs. Valeo 2024-10-26,RCB,10/26/2024 12:00:00 AM,Round 1026,10/26/2024 12:00:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,100,0,0,,,,0,0,0,0,0,0,0,0,0,0,,17,0,1,1,18,0,13,1,0,36,1,97.3,54.05,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Valeo,1,,0,,0,,0,0,0,0,0
,,7,Aiden Mejia,,45,Boston Bolts U16 MLS Next,Boston Bolts U16 MLS Next vs. Valeo 2024-10-26,LB,10/26/2024 12:00:00 AM,Round 1026,10/26/2024 12:00:00 AM,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,7,2,0,0,77.78,0,0,100,,,2,0,0,0,0,0,0,0,0,1,,23,1,0,0,8,1,5,1,2,31,2,93.94,27.27,88.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Valeo,1,,0,100,0,100,6,0,0,0,0
,,11,Christian Kence,,45,Boston Bolts U16 MLS Next,Boston Bolts U16 MLS Next vs. Valeo 2024-10-26,ATT,10/26/2024 12:00:00 AM,Round 1026,10/26/2024 12:00:00 AM,0,0,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,3,2,0,0,60,0,0,,100,,0,0,1,0,0,1,0,0,1,0,100,14,0,0,0,8,2,6,4,6,22,2,91.67,41.67,80,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Valeo,1,,0,,0,,0,0,2,0,0
,,5,Dean Lundquist,,45,Boston Bolts U16 MLS Next,Boston Bolts U16 MLS Next vs. Valeo 2024-10-26,LCB,10/26/2024 12:00:00 AM,Round 1026,10/26/2024 12:00:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,72.73,0,0,,,,0,0,0,0,0,0,0,0,0,1,,25,0,0,2,21,4,15,1,1,46,6,88.46,51.92,77.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Valeo,1,,0,,0,,1,0,1,0,0
,,2,Gabriel Raley,,45,Boston Bolts U16 MLS Next,Boston Bolts U16 MLS Next vs. Valeo 2024-10-26,RW,10/26/2024 12:00:00 AM,Round 1026,10/26/2024 12:00:00 AM,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,2,1,0,0,66.67,0,0,100,,,0,0,0,0,0,0,0,0,0,1,,8,0,0,0,1,0,1,0,4,9,0,100,11.11,100,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Valeo,1,,0,,0,100,0,0,0,0,0
,,1,Jack Seaborn,,45,Boston Bolts U16 MLS Next,Boston Bolts U16 MLS Next vs. Valeo 2024-10-26,GK,10/26/2024 12:00:00 AM,Round 1026,10/26/2024 12:00:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,100,0,0,,,,0,0,0,0,0,0,0,0,0,0,,11,0,3,0,10,0,7,0,0,24,0,100,54.17,100,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,1,0,100,1,Valeo,1,,0,,0,,0,2,0,0,3
,,22,Nate Aaron,,45,Boston Bolts U16 MLS Next,Boston Bolts U16 MLS Next vs. Valeo 2024-10-26,LW,10/26/2024 12:00:00 AM,Round 1026,10/26/2024 12:00:00 AM,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,60,0,0,,,,1,0,3,0,0,2,1,0,3,2,66.67,11,1,0,0,6,2,2,2,3,17,3,85,40,75,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Valeo,1,,0,100,0,100,0,0,2,0,0
,,8,Valentin Estevez Rubino,,45,Boston Bolts U16 MLS Next,Boston Bolts U16 MLS Next vs. Valeo 2024-10-26,CM,10/26/2024 12:00:00 AM,Round 1026,10/26/2024 12:00:00 AM,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1,75,0,0,100,,,0,0,3,0,0,3,0,0,0,0,100,20,0,0,0,10,2,4,3,2,30,2,93.75,37.5,83.33,0,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Valeo,1,,0,,0,,0,0,2,0,0
,,6,Ben Stuart,,45,Boston Bolts U16 MLS Next,Boston Bolts U16 MLS Next vs. Valeo 2024-10-26,DM,10/26/2024 12:00:00 AM,Round 1026,10/26/2024 12:00:00 AM,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,6,2,0,0,75,0,0,100,,100,0,0,0,0,0,0,0,0,0,0,,20,0,0,0,3,2,1,0,1,23,2,92,20,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Valeo,1,,0,,0,,0,0,0,0,0
