,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ReportWeekly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period Name,,Squad Number,Player Full Name,,mins played,Team Name,Match Name,Position Tag,As At Date,Round Name,Match Date,Yellow Card,Red Card,Goal,Assist,Dribble,Offside,Own Goal,Goal Against,Stand. Tackle,Unsucc Stand. Tackle,Tackle,Unsucc Tackle,Def Aerial,Unsucc Def Aerial,Clear,Headed Clear,Own Box Clear,Progr Rec,Unprogr Rec,Progr Inter,Unprogr Inter,Progr Regain ,Blocked Shot,Blocked Cross,Stand. Tackle Success ,Tackle Success ,Def Aerial Success ,Att 1v1,Att Aerial,Efforts on Goal,Header on Target,Header off Target,Shot on Target,Shot off Target,Att Shot Blockd,Cross,Unsucc Cross,Efficiency ,Side Back,Unsucc Side Back,Long,Unsucc Long,Forward,Unsucc Forward,Line Break,Pass into Oppo Box,Loss of Poss,Success,Unsuccess,Pass Completion ,Progr Pass Attempt ,Progr Pass Completion ,Foul Won,Foul Conceded,FK,Unsucc FK,Corner Kick,Short Corner,Unsucc Corner Kick,PK Won,PK Conceded,PK Scored,PK Missed,Throw,Unsucc Throw,Hands GK,Unsucc Hands,Ground GK,Unsucc Ground,Save Held,Save Parried,Save % ,Successful Cross,Opposition,Starts,,Unsucc Att 1v1,Att 1v1 Success % ,Unsucc Dribble,Dribble Success % ,Throw in,Opp Effort on Goal,Chance Created,Unsucc cross GK,Throw in against
1st Half,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12,Brendan Furlonge,,45,Boston Bolts U17 MLS Next,IFA vs. Boston Bolts U17 MLS Next 2024-09-07,RB,9/7/2024 12:00:00 AM,Round 0907,9/7/2024 12:00:00 AM,0,0,0,0,3,0,0,0,2,1,0,0,0,0,2,0,2,2,1,1,2,50,1,0,66.67,,,1,0,0,0,0,0,0,0,0,1,,3,0,0,0,3,1,1,0,6,6,1,85.71,57.14,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,IFA,1,,0,100,0,100,4,0,0,0,0
,,9,Finn van Clief,,45,Boston Bolts U17 MLS Next,IFA vs. Boston Bolts U17 MLS Next 2024-09-07,ATT,9/7/2024 12:00:00 AM,Round 0907,9/7/2024 12:00:00 AM,0,0,1,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,100,,,2,1,1,0,0,1,0,0,0,0,100,2,0,0,0,3,1,1,0,1,5,1,83.33,66.67,75,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,IFA,1,,0,100,0,100,0,0,3,0,0
,,4,Jake Ciavarro,,45,Boston Bolts U17 MLS Next,IFA vs. Boston Bolts U17 MLS Next 2024-09-07,DM,9/7/2024 12:00:00 AM,Round 0907,9/7/2024 12:00:00 AM,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,2,2,0,1,40,1,0,66.67,,,0,0,0,0,0,0,0,0,0,0,,6,0,0,0,9,3,3,0,1,15,3,83.33,66.67,75,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,IFA,1,,0,,0,,0,0,0,0,0
,,15,Jonah Greenblatt,,45,Boston Bolts U17 MLS Next,IFA vs. Boston Bolts U17 MLS Next 2024-09-07,LB,9/7/2024 12:00:00 AM,Round 0907,9/7/2024 12:00:00 AM,0,0,0,0,4,0,0,0,2,0,0,0,0,1,2,0,2,2,0,1,0,100,0,0,100,,0,2,0,1,0,0,1,0,0,0,1,100,4,0,0,0,8,1,1,0,1,12,1,92.31,69.23,88.89,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,IFA,1,,0,100,0,100,5,0,0,0,0
,,25,Kaio Morais,,45,Boston Bolts U17 MLS Next,IFA vs. Boston Bolts U17 MLS Next 2024-09-07,ATT,9/7/2024 12:00:00 AM,Round 0907,9/7/2024 12:00:00 AM,0,0,2,0,4,0,0,0,2,2,0,0,0,0,0,0,1,5,1,2,1,77.78,0,0,50,,,2,0,2,0,0,1,1,0,3,1,50,5,1,0,1,3,1,1,1,4,8,3,72.73,45.45,60,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,IFA,1,,0,100,0,100,0,0,1,0,0
,,6,Marcus Cooper,,45,Boston Bolts U17 MLS Next,IFA vs. Boston Bolts U17 MLS Next 2024-09-07,RCB,9/7/2024 12:00:00 AM,Round 0907,9/7/2024 12:00:00 AM,0,0,0,0,2,0,0,0,0,0,0,1,0,0,2,0,1,2,2,3,0,71.43,4,0,,0,,1,0,1,0,1,0,0,0,0,0,0,3,0,1,1,5,6,3,0,1,9,7,56.25,81.25,46.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,IFA,1,,0,100,0,100,0,0,1,0,0
,,5,Sam Cunniffe,,45,Boston Bolts U17 MLS Next,IFA vs. Boston Bolts U17 MLS Next 2024-09-07,LCB,9/7/2024 12:00:00 AM,Round 0907,9/7/2024 12:00:00 AM,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,100,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,3,0,0,3,11,1,3,0,0,14,4,77.78,83.33,73.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,IFA,1,,0,,0,,0,0,0,0,0
,,21,Vasilian Mbrice,,45,Boston Bolts U17 MLS Next,IFA vs. Boston Bolts U17 MLS Next 2024-09-07,CM,9/7/2024 12:00:00 AM,Round 0907,9/7/2024 12:00:00 AM,0,0,0,0,2,0,0,0,3,1,0,0,0,0,1,0,1,4,0,0,0,100,1,0,75,,,2,0,2,0,0,0,1,1,0,0,0,2,0,0,0,3,0,2,0,1,5,0,100,60,100,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,IFA,1,,0,100,0,100,0,0,0,0,0
,,13,Casey Powers,,45,Boston Bolts U17 MLS Next,IFA vs. Boston Bolts U17 MLS Next 2024-09-07,GK,9/7/2024 12:00:00 AM,Round 0907,9/7/2024 12:00:00 AM,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,100,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,8,0,0,0,0,8,0,100,100,100,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,7,0,0,0,0,1,IFA,1,,0,,0,,0,15,0,0,0
