,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ReportWeekly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period Name,,Squad Number,Player Full Name,,mins played,Team Name,Match Name,Position Tag,As At Date,Round Name,Match Date,Yellow Card,Red Card,Goal,Assist,Dribble,Offside,Own Goal,Goal Against,Stand. Tackle,Unsucc Stand. Tackle,Tackle,Unsucc Tackle,Def Aerial,Unsucc Def Aerial,Clear,Headed Clear,Own Box Clear,Progr Rec,Unprogr Rec,Progr Inter,Unprogr Inter,Progr Regain ,Blocked Shot,Blocked Cross,Stand. Tackle Success ,Tackle Success ,Def Aerial Success ,Att 1v1,Att Aerial,Efforts on Goal,Header on Target,Header off Target,Shot on Target,Shot off Target,Att Shot Blockd,Cross,Unsucc Cross,Efficiency ,Side Back,Unsucc Side Back,Long,Unsucc Long,Forward,Unsucc Forward,Line Break,Pass into Oppo Box,Loss of Poss,Success,Unsuccess,Pass Completion ,Progr Pass Attempt ,Progr Pass Completion ,Foul Won,Foul Conceded,FK,Unsucc FK,Corner Kick,Short Corner,Unsucc Corner Kick,PK Won,PK Conceded,PK Scored,PK Missed,Throw,Unsucc Throw,Hands GK,Unsucc Hands,Ground GK,Unsucc Ground,Save Held,Save Parried,Save % ,Successful Cross,Opposition,Starts,,Unsucc Att 1v1,Att 1v1 Success % ,Unsucc Dribble,Dribble Success % ,Throw in,Opp Effort on Goal,Chance Created,Unsucc cross GK,Throw in against
1st Half,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,Oscar Robertson,,22,Boston Bolts U16 NALB,NEFC vs. Boston Bolts U16 NALB 2025-05-10,LB,5/10/2025 12:00:00 AM,Round 0510,5/10/2025 12:00:00 AM,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,3,1,2,0,83.33,0,0,100,,0,0,0,0,0,0,0,0,0,0,1,,6,0,0,1,2,3,0,1,1,8,4,66.67,50,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,NEFC,1,,0,,0,100,4,0,0,0,0
,,2,Oscar Robertson,,23,Boston Bolts U16 NALB,NEFC vs. Boston Bolts U16 NALB 2025-05-10,RB,5/10/2025 12:00:00 AM,Round 0510,5/10/2025 12:00:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,3,1,57.14,0,0,,,,0,0,0,0,0,0,0,0,1,0,,2,0,0,1,7,4,0,0,1,9,5,64.29,85.71,58.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,NEFC,0,,0,,0,,3,0,1,0,0
,,3,Milo Brandon,,22,Boston Bolts U16 NALB,NEFC vs. Boston Bolts U16 NALB 2025-05-10,RW,5/10/2025 12:00:00 AM,Round 0510,5/10/2025 12:00:00 AM,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,,,0,1,0,0,0,0,0,0,0,0,0,,1,0,0,1,0,4,1,0,2,1,5,16.67,83.33,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,NEFC,1,,0,100,0,100,1,0,0,0,0
,,4,Donovan Eaton,,45,Boston Bolts U16 NALB,NEFC vs. Boston Bolts U16 NALB 2025-05-10,CM,5/10/2025 12:00:00 AM,Round 0510,5/10/2025 12:00:00 AM,0,0,0,0,2,0,0,0,2,0,0,0,1,0,1,0,0,5,1,2,3,63.64,0,0,100,,100,1,0,0,0,0,0,0,0,1,1,,3,0,0,1,5,5,0,2,4,8,6,57.14,78.57,45.45,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,NEFC,1,,0,100,0,100,1,0,1,0,0
,,6,Kai Veson,,22,Boston Bolts U16 NALB,NEFC vs. Boston Bolts U16 NALB 2025-05-10,CM,5/10/2025 12:00:00 AM,Round 0510,5/10/2025 12:00:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,33.33,0,0,,,0,0,0,0,0,0,0,0,0,0,1,,2,1,0,0,0,1,0,0,0,2,2,50,25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,NEFC,1,,0,,0,,0,0,0,0,0
,,7,Owen Spinney,,45,Boston Bolts U16 NALB,NEFC vs. Boston Bolts U16 NALB 2025-05-10,LCB,5/10/2025 12:00:00 AM,Round 0510,5/10/2025 12:00:00 AM,0,0,0,0,6,0,0,0,3,0,1,0,0,1,1,0,0,2,5,2,2,36.36,0,1,100,100,0,0,0,1,0,0,0,0,1,0,0,0,6,1,3,4,7,6,6,0,3,16,11,59.26,74.07,50,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,NEFC,1,,0,,0,100,0,0,0,0,0
,,8,Joseph Sousa,,45,Boston Bolts U16 NALB,NEFC vs. Boston Bolts U16 NALB 2025-05-10,DM,5/10/2025 12:00:00 AM,Round 0510,5/10/2025 12:00:00 AM,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,3,4,0,62.5,0,0,100,,,0,0,1,0,1,0,0,0,0,0,0,11,1,0,1,4,3,0,1,1,15,5,75,40,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,NEFC,1,,0,,0,,0,0,0,0,0
,,9,Owen Smith,,23,Boston Bolts U16 NALB,NEFC vs. Boston Bolts U16 NALB 2025-05-10,ATT,5/10/2025 12:00:00 AM,Round 0510,5/10/2025 12:00:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100,0,0,,,,0,0,2,0,0,1,1,0,0,0,50,1,0,1,0,1,0,0,0,3,3,0,100,66.67,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,NEFC,0,,0,,0,,0,0,0,0,0
,,10,Max Christiano,,23,Boston Bolts U16 NALB,NEFC vs. Boston Bolts U16 NALB 2025-05-10,CM,5/10/2025 12:00:00 AM,Round 0510,5/10/2025 12:00:00 AM,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,2,40,0,0,,,,1,0,0,0,0,0,0,0,0,0,,5,0,0,2,8,0,1,0,1,13,2,86.67,66.67,80,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,NEFC,0,,0,100,0,100,0,0,1,0,0
