,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ReportWeekly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period Name,,Squad Number,Player Full Name,,mins played,Team Name,Match Name,Position Tag,As At Date,Round Name,Match Date,Yellow Card,Red Card,Goal,Assist,Dribble,Offside,Own Goal,Goal Against,Stand. Tackle,Unsucc Stand. Tackle,Tackle,Unsucc Tackle,Def Aerial,Unsucc Def Aerial,Clear,Headed Clear,Own Box Clear,Progr Rec,Unprogr Rec,Progr Inter,Unprogr Inter,Progr Regain ,Blocked Shot,Blocked Cross,Stand. Tackle Success ,Tackle Success ,Def Aerial Success ,Att 1v1,Att Aerial,Efforts on Goal,Header on Target,Header off Target,Shot on Target,Shot off Target,Att Shot Blockd,Cross,Unsucc Cross,Efficiency ,Side Back,Unsucc Side Back,Long,Unsucc Long,Forward,Unsucc Forward,Line Break,Pass into Oppo Box,Loss of Poss,Success,Unsuccess,Pass Completion ,Progr Pass Attempt ,Progr Pass Completion ,Foul Won,Foul Conceded,FK,Unsucc FK,Corner Kick,Short Corner,Unsucc Corner Kick,PK Won,PK Conceded,PK Scored,PK Missed,Throw,Unsucc Throw,Hands GK,Unsucc Hands,Ground GK,Unsucc Ground,Save Held,Save Parried,Save % ,Successful Cross,Opposition,Starts,,Unsucc Att 1v1,Att 1v1 Success % ,Unsucc Dribble,Dribble Success % ,Throw in,Opp Effort on Goal,Chance Created,Unsucc cross GK,Throw in against
1st Half,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,Marco Hoxholli,,35,Boston Bolts U19 NALB,Boston Bolts U19 NALB vs. NY Rush 2025-03-22,RW,3/22/2025 12:00:00 AM,Round 0322,3/22/2025 12:00:00 AM,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,50,0,0,,,0,0,0,2,0,0,0,2,0,0,0,0,6,1,1,0,9,4,3,2,1,16,5,76.19,66.67,71.43,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,NY Rush,1,,0,,0,100,0,0,3,0,0
,,4,Emmanuel Bellone,,21,Boston Bolts U19 NALB,Boston Bolts U19 NALB vs. NY Rush 2025-03-22,ATT,3/22/2025 12:00:00 AM,Round 0322,3/22/2025 12:00:00 AM,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,66.67,0,0,0,,,0,0,1,0,0,1,0,0,0,0,100,2,0,0,0,1,0,0,0,5,3,0,100,33.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,NY Rush,1,,0,,1,50,0,0,1,0,0
,,5,Jaden Barrack-Anidi,,45,Boston Bolts U19 NALB,Boston Bolts U19 NALB vs. NY Rush 2025-03-22,CB,3/22/2025 12:00:00 AM,Round 0322,3/22/2025 12:00:00 AM,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,0,100,0,0,,,0,0,0,1,0,0,0,0,1,0,1,0,5,1,0,0,16,0,2,1,0,21,1,95.45,72.73,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,NY Rush,1,,0,,0,100,0,0,1,0,0
,,6,Aidan Cullinane,,21,Boston Bolts U19 NALB,Boston Bolts U19 NALB vs. NY Rush 2025-03-22,CM,3/22/2025 12:00:00 AM,Round 0322,3/22/2025 12:00:00 AM,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,83.33,0,0,,,,1,0,1,0,0,0,1,0,0,0,0,7,0,1,0,9,3,1,2,1,17,3,85,65,76.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,NY Rush,1,,0,100,0,100,0,0,0,0,0
,,6,Aidan Cullinane,,15,Boston Bolts U19 NALB,Boston Bolts U19 NALB vs. NY Rush 2025-03-22,RCB,3/22/2025 12:00:00 AM,Round 0322,3/22/2025 12:00:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,0,0,,3,0,0,1,4,0,2,1,0,7,1,87.5,62.5,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,NY Rush,0,,0,,0,,0,0,0,0,0
,,7,Jason Xintaropoulos,,21,Boston Bolts U19 NALB,Boston Bolts U19 NALB vs. NY Rush 2025-03-22,LW,3/22/2025 12:00:00 AM,Round 0322,3/22/2025 12:00:00 AM,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,50,,,0,0,0,0,0,0,0,0,0,0,,2,0,0,0,1,1,0,1,1,3,1,75,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,NY Rush,1,,0,,0,,0,0,0,0,0
,,7,Jason Xintaropoulos,,15,Boston Bolts U19 NALB,Boston Bolts U19 NALB vs. NY Rush 2025-03-22,LWB,3/22/2025 12:00:00 AM,Round 0322,3/22/2025 12:00:00 AM,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,100,0,0,100,,,0,0,2,0,0,1,1,0,0,0,50,5,0,0,0,1,0,0,0,1,6,0,100,16.67,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,NY Rush,0,,0,,0,100,0,0,0,0,0
,,10,Emerson Walker,,24,Boston Bolts U19 NALB,Boston Bolts U19 NALB vs. NY Rush 2025-03-22,CM,3/22/2025 12:00:00 AM,Round 0322,3/22/2025 12:00:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,100,0,0,,,,0,0,0,0,0,0,0,0,0,1,,6,0,0,0,4,1,0,1,1,10,1,90.91,45.45,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,NY Rush,0,,0,,0,,0,0,0,0,0
,,12,Tyler Monaghan,,45,Boston Bolts U19 NALB,Boston Bolts U19 NALB vs. NY Rush 2025-03-22,RWB,3/22/2025 12:00:00 AM,Round 0322,3/22/2025 12:00:00 AM,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,100,0,0,,,,1,0,0,0,0,0,0,0,2,3,,6,0,1,0,7,1,2,0,1,14,1,93.33,60,88.89,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,NY Rush,1,,0,100,0,100,7,0,5,0,0
