,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ReportWeekly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period Name,,Squad Number,Player Full Name,,mins played,Team Name,Match Name,Position Tag,As At Date,Round Name,Match Date,Yellow Card,Red Card,Goal,Assist,Dribble,Offside,Own Goal,Goal Against,Stand. Tackle,Unsucc Stand. Tackle,Tackle,Unsucc Tackle,Def Aerial,Unsucc Def Aerial,Clear,Headed Clear,Own Box Clear,Progr Rec,Unprogr Rec,Progr Inter,Unprogr Inter,Progr Regain ,Blocked Shot,Blocked Cross,Stand. Tackle Success ,Tackle Success ,Def Aerial Success ,Att 1v1,Att Aerial,Efforts on Goal,Header on Target,Header off Target,Shot on Target,Shot off Target,Att Shot Blockd,Cross,Unsucc Cross,Efficiency ,Side Back,Unsucc Side Back,Long,Unsucc Long,Forward,Unsucc Forward,Line Break,Pass into Oppo Box,Loss of Poss,Success,Unsuccess,Pass Completion ,Progr Pass Attempt ,Progr Pass Completion ,Foul Won,Foul Conceded,FK,Unsucc FK,Corner Kick,Short Corner,Unsucc Corner Kick,PK Won,PK Conceded,PK Scored,PK Missed,Throw,Unsucc Throw,Hands GK,Unsucc Hands,Ground GK,Unsucc Ground,Save Held,Save Parried,Save % ,Successful Cross,Opposition,Starts,,Unsucc Att 1v1,Att 1v1 Success % ,Unsucc Dribble,Dribble Success % ,Throw in,Opp Effort on Goal,Chance Created,Unsucc cross GK,Throw in against
1st Half,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,77,Aaron Choi,,45,Boston Bolts U19 MLS Next,Boston Bolts U19 MLS Next vs. Chula Vista 2024-12-07,GK,12/7/2024 12:00:00 AM,Round 1207,12/7/2024 12:00:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,1,1,0,13,0,0,0,0,14,1,93.33,93.33,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,1,100,0,Chula Vista,1,,0,,0,,0,5,0,0,4
,,18,Benjamin Wiseman,,45,Boston Bolts U19 MLS Next,Boston Bolts U19 MLS Next vs. Chula Vista 2024-12-07,CM,12/7/2024 12:00:00 AM,Round 1207,12/7/2024 12:00:00 AM,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,3,3,57.14,0,0,0,,0,0,0,1,0,0,0,1,0,0,0,0,7,0,0,0,4,2,1,0,3,11,2,84.62,46.15,66.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Chula Vista,1,,0,,0,,0,0,0,0,0
,,10,Ian Hecker,,45,Boston Bolts U19 MLS Next,Boston Bolts U19 MLS Next vs. Chula Vista 2024-12-07,AM,12/7/2024 12:00:00 AM,Round 1207,12/7/2024 12:00:00 AM,0,0,0,0,3,1,0,0,0,0,1,0,0,0,2,0,0,0,0,8,3,72.73,0,0,,100,,1,0,2,0,0,1,1,0,1,0,50,6,0,0,0,2,5,4,1,4,8,5,61.54,53.85,28.57,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,Chula Vista,1,,0,100,2,60,0,0,0,0,0
,,11,Peter Magnuson,,45,Boston Bolts U19 MLS Next,Boston Bolts U19 MLS Next vs. Chula Vista 2024-12-07,LB,12/7/2024 12:00:00 AM,Round 1207,12/7/2024 12:00:00 AM,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,1,5,2,62.5,1,1,,100,100,0,0,0,0,0,0,0,0,0,1,,6,0,1,0,8,3,1,1,4,15,3,83.33,66.67,75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Chula Vista,1,,0,,0,,4,0,1,0,0
,,9,Sebastian Snibbe,,45,Boston Bolts U19 MLS Next,Boston Bolts U19 MLS Next vs. Chula Vista 2024-12-07,ATT,12/7/2024 12:00:00 AM,Round 1207,12/7/2024 12:00:00 AM,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,66.67,0,0,,,,1,0,0,0,0,0,0,0,0,1,,8,2,0,0,1,2,1,0,2,9,4,69.23,23.08,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Chula Vista,1,,0,100,1,66.67,0,0,1,0,0
,,15,Adin Pezo,,45,Boston Bolts U19 MLS Next,Boston Bolts U19 MLS Next vs. Chula Vista 2024-12-07,LW,12/7/2024 12:00:00 AM,Round 1207,12/7/2024 12:00:00 AM,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,100,0,0,,,,0,0,0,0,0,0,0,0,0,0,,7,2,0,0,2,1,0,0,2,9,3,75,25,66.67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Chula Vista,1,,0,,1,50,0,0,1,0,0
,,8,Amir Yahalom,,45,Boston Bolts U19 MLS Next,Boston Bolts U19 MLS Next vs. Chula Vista 2024-12-07,CM,12/7/2024 12:00:00 AM,Round 1207,12/7/2024 12:00:00 AM,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,1,1,4,0,3,6,53.85,1,0,100,,,0,0,1,0,0,1,0,0,0,0,100,17,0,0,0,5,4,0,0,0,22,4,84.62,34.62,55.56,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Chula Vista,1,,0,,0,100,0,0,0,0,0
,,21,Dylan Furlonge,,45,Boston Bolts U19 MLS Next,Boston Bolts U19 MLS Next vs. Chula Vista 2024-12-07,RB,12/7/2024 12:00:00 AM,Round 1207,12/7/2024 12:00:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,2,1,66.67,0,0,,,100,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,1,2,0,1,1,2,2,50,75,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Chula Vista,1,,0,,0,,3,0,0,0,0
,,25,Henry Wassarman,,45,Boston Bolts U19 MLS Next,Boston Bolts U19 MLS Next vs. Chula Vista 2024-12-07,RCB,12/7/2024 12:00:00 AM,Round 1207,12/7/2024 12:00:00 AM,0,0,0,0,3,0,0,0,0,0,0,0,1,0,1,0,0,3,0,3,1,85.71,0,0,,,100,1,0,0,0,0,0,0,0,0,0,,12,0,3,0,21,2,7,0,0,36,2,94.74,68.42,92.31,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Chula Vista,1,,0,100,0,100,0,0,0,0,0
