,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ReportWeekly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period Name,,Squad Number,Player Full Name,,mins played,Team Name,Match Name,Position Tag,As At Date,Round Name,Match Date,Yellow Card,Red Card,Goal,Assist,Dribble,Offside,Own Goal,Goal Against,Stand. Tackle,Unsucc Stand. Tackle,Tackle,Unsucc Tackle,Def Aerial,Unsucc Def Aerial,Clear,Headed Clear,Own Box Clear,Progr Rec,Unprogr Rec,Progr Inter,Unprogr Inter,Progr Regain ,Blocked Shot,Blocked Cross,Stand. Tackle Success ,Tackle Success ,Def Aerial Success ,Att 1v1,Att Aerial,Efforts on Goal,Header on Target,Header off Target,Shot on Target,Shot off Target,Att Shot Blockd,Cross,Unsucc Cross,Efficiency ,Side Back,Unsucc Side Back,Long,Unsucc Long,Forward,Unsucc Forward,Line Break,Pass into Oppo Box,Loss of Poss,Success,Unsuccess,Pass Completion ,Progr Pass Attempt ,Progr Pass Completion ,Foul Won,Foul Conceded,FK,Unsucc FK,Corner Kick,Short Corner,Unsucc Corner Kick,PK Won,PK Conceded,PK Scored,PK Missed,Throw,Unsucc Throw,Hands GK,Unsucc Hands,Ground GK,Unsucc Ground,Save Held,Save Parried,Save % ,Successful Cross,Opposition,Starts,,Unsucc Att 1v1,Att 1v1 Success % ,Unsucc Dribble,Dribble Success % ,Throw in,Opp Effort on Goal,Chance Created,Unsucc cross GK,Throw in against
1st Half,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,Marco Hoxholli,,21,Boston Bolts U19 NALB,Boston Bolts U19 NALB vs. NEFC 2025-03-16,LB,3/16/2025 12:00:00 AM,Round 0316,3/16/2025 12:00:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,2,0,50,0,0,,,,0,0,0,0,0,0,0,0,0,0,,2,1,0,0,2,1,1,0,4,4,2,66.67,50,66.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,NEFC,1,,0,,0,,4,0,0,0,0
,,3,Marco Hoxholli,,8,Boston Bolts U19 NALB,Boston Bolts U19 NALB vs. NEFC 2025-03-16,RB,3/16/2025 12:00:00 AM,Round 0316,3/16/2025 12:00:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,100,0,0,,,,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,3,0,0,0,1,4,0,100,75,100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,NEFC,0,,0,,1,0,1,0,0,0,0
,,4,Emmanuel Bellone,,32,Boston Bolts U19 NALB,Boston Bolts U19 NALB vs. NEFC 2025-03-16,RCB,3/16/2025 12:00:00 AM,Round 0316,3/16/2025 12:00:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,66.67,0,0,,,,0,0,0,0,0,0,0,0,0,0,,6,0,0,1,9,1,1,0,0,15,2,88.24,64.71,81.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,NEFC,1,,0,,0,,0,0,0,0,0
,,5,Jaden Barrack-Anidi,,21,Boston Bolts U19 NALB,Boston Bolts U19 NALB vs. NEFC 2025-03-16,LCB,3/16/2025 12:00:00 AM,Round 0316,3/16/2025 12:00:00 AM,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,66.67,0,0,100,,,0,0,0,0,0,0,0,0,0,0,,8,0,1,0,4,1,1,0,0,13,1,92.86,42.86,83.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,NEFC,1,,0,,0,,0,0,0,0,0
,,5,Jaden Barrack-Anidi,,8,Boston Bolts U19 NALB,Boston Bolts U19 NALB vs. NEFC 2025-03-16,RCB,3/16/2025 12:00:00 AM,Round 0316,3/16/2025 12:00:00 AM,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,100,,,0,0,0,0,0,0,0,0,0,0,,4,0,0,0,1,1,0,0,0,5,1,83.33,33.33,50,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,NEFC,0,,0,,0,,0,0,0,0,0
,,7,Jason Xintaropoulos,,29,Boston Bolts U19 NALB,Boston Bolts U19 NALB vs. NEFC 2025-03-16,RW,3/16/2025 12:00:00 AM,Round 0316,3/16/2025 12:00:00 AM,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,100,0,0,,,,0,0,1,0,0,0,1,0,0,0,0,5,0,0,0,2,3,0,0,3,7,3,70,50,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,NEFC,1,,0,,0,100,0,0,0,0,0
,,10,Emerson Walker,,19,Boston Bolts U19 NALB,Boston Bolts U19 NALB vs. NEFC 2025-03-16,CM,3/16/2025 12:00:00 AM,Round 0316,3/16/2025 12:00:00 AM,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,50,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,4,0,0,0,0,2,0,0,1,4,2,66.67,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,NEFC,0,,0,,0,,0,0,0,0,0
,,11,Wallace Lawrence,,32,Boston Bolts U19 NALB,Boston Bolts U19 NALB vs. NEFC 2025-03-16,ATT,3/16/2025 12:00:00 AM,Round 0316,3/16/2025 12:00:00 AM,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,2,1,1,0,75,0,0,0,,,0,1,2,0,0,1,1,0,0,2,50,6,0,1,0,4,2,3,0,4,11,2,84.62,53.85,71.43,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,NEFC,1,,0,,0,100,4,0,0,0,0
,,13,Owen Filler,,40,Boston Bolts U19 NALB,Boston Bolts U19 NALB vs. NEFC 2025-03-16,RB,3/16/2025 12:00:00 AM,Round 0316,3/16/2025 12:00:00 AM,0,0,0,0,4,0,0,0,1,0,0,0,0,0,2,0,1,7,3,3,0,76.92,1,0,100,,,2,0,0,0,0,0,0,0,0,0,,11,0,1,5,13,3,6,1,2,25,8,75.76,66.67,63.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,NEFC,1,,0,100,0,100,5,0,1,0,0
